Gene	AdFA2a	AdFA2b	AdFA2c	AdFA2d	AdFA2e	AdFA3a	AdFA3b	AdFA3c	AdFA3d	AdFA3e	AdFA4a	AdFA4b	AdFA4c	AdFA4d	AdFA4e	AdMA2a	AdMA2b	AdMA2c	AdMA2d	AdMA2e	AdMA3a	AdMA3b	AdMA3c	AdMA3d	AdMA3e	AdMA4a	AdMA4b	AdMA4c	AdMA4d	AdMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 1.63141407 1.68106359 1.78833973 1.83806652 1.60483235 1.48919094 1.65960589 1.66331205 1.79175377 1.88379209 1.45000534 1.59111718 1.69995105 1.85012864 1.45166706 1.69282678 1.52661829 1.42589472 1.69129445 1.90700378 1.9429481 1.74695227 1.69907919 1.84162023 1.91721555 1.4648771 1.60886716 1.76041399 1.76766037 1.87767297
11303 0.47090192 0.25413467 0.49294017 0.41752619 0.43708191 0.68746426 0.3639242 0.38479689 0.56240979 0.56335671 0.68266612 0.69332671 0.33923556 0.62357509 0.50432192 0.26974438 0.58323272 0.63850881 0.19490704 0.29424428 0.08308305 0.38105098 0.35870119 0.15678362 0.40532854 0.4545823 0.71420413 0.56473476 0.0747365 0.38491576
11350 0.0033164 -0.1249506 0.05179681 0.13154171 -0.4123351 0.26154226 0.06626661 -0.0411474 -0.1413863 -0.0007584 0.10183424 0.2337365 0.09203616 -0.1535157 -0.1035484 -0.4602767 -0.0206154 -0.0228787 -0.2713656 -0.2973365 -0.3167017 -0.3524775 -0.12308 -0.1653198 -0.2310588 -0.348357 -0.2229035 -0.2298916 0.16053018 -0.327557
11352 0.860912533 1.0072102 0.788721065 0.886123343 0.847119405 0.832726625 0.83277036 0.92657508 0.806408988 0.853561525 0.856431305 0.862660775 0.80856916 0.828905465 0.893146178 1.012811093 0.976042283 0.688465243 0.943912478 0.872616678 0.855945065 0.914058245 0.992833103 0.88502448 0.83109391 0.900877318 0.72655181 0.993390465 1.057436178 0.785914758
11363 -0.554798067 -0.689235533 -0.634880867 -0.7206091 -0.6312909 -0.452710533 -0.541833567 -0.5762698 -0.681312833 -0.6828746 -0.460213467 -0.605761267 -0.558443133 -0.750778967 -0.7759774 -0.7620134 -0.527167033 -1.122271333 -0.840297333 -0.7279879 -0.814731567 -0.754089567 -0.5875315 -0.7382725 -0.763961733 -0.578409033 -0.492962567 -0.548809067 -0.575810333 -0.7684537
11364 -1.0118027 -1.2204422 -1.0223813 -1.0189451 -1.3358591 -1.3211692 -0.9832647 -1.0316273 -1.0968708 -1.0710915 -0.7471457 -0.7392894 -0.8100244 -0.8422425 -0.590814 -1.3694681 -0.9445263 -1.2082007 -1.2716175 -1.1579826 -1.9424302 -1.6713713 -0.9221537 -1.6314596 -2.0061924 -1.0199304 -0.5771217 -0.9138407 -1.436952 -1.6446165
11370 -0.2160336 -0.5363961 -0.5237357 -0.5597739 -0.3480689 -0.3536347 -0.2183784 -0.5096706 -0.2776085 -0.569284 -0.432415 -0.3661407 -0.4419581 -0.409457 -0.4066963 -0.5988452 -0.4941395 -0.2858205 -0.291222 -0.3156293 -0.58903 -0.5492734 -0.5146184 -0.5901641 -0.1778624 -0.4453562 -0.1760631 -0.5203858 -0.6255186 -0.4554756
11409 -0.2547911 -0.3149038 -0.2875098 -0.4529124 -0.4391593 -0.2292709 -0.0731697 -0.2175751 -0.3784412 -0.1982093 -0.2781112 -0.2998877 -0.4106918 -0.3025644 0.22986816 -0.9643093 0.20206356 -0.327511 -0.5969867 -0.4104675 -0.1788358 -0.2388016 -0.2687214 -0.4424902 -0.4661332 0.37460422 -0.2353509 -0.2332868 -0.1111533 -0.5039054
11418 -1.4717546 -1.6788719 -1.2979953 -1.4203515 -1.5990775 -1.5333165 -1.5228936 -1.5384403 -1.5509332 -1.4735103 -1.672707 -2.0113387 -1.6088527 -1.308844 -1.6488 -0.9458502 -1.2580048 -1.2186876 -1.3600419 -1.2199124 -2.2481268 -1.5340371 -1.8026387 -1.6835097 -1.9789284 -1.5151401 -2.4346244 -1.4279788 -0.8649363 -1.0419977
11428 -0.8852565 -0.9644916 -0.9630133 -0.5926319 -1.0176371 -0.7665575 -0.7862889 -1.1233909 -0.9190539 -1.0206504 -0.9007807 -0.9076485 -1.1255505 -1.0899255 -0.6023522 -0.8113311 -1.0387893 -0.9486258 -0.9791703 -0.7690007 -0.5757355 -1.0506419 -0.9304344 -1.054659 -1.1222893 -0.9343333 -0.8822434 -1.1876214 -0.2738871 -0.8881923
11429 0.13343103 0.10693331 0.05560841 -0.0365486 -0.0899819 0.36325287 0.04981777 0.20678761 -0.2098455 -0.0586804 0.27220672 0.09335594 -0.1673909 -0.0471864 0.22183455 0.06706478 0.27098297 0.27519507 -0.183814 -0.0965504 -0.2208863 -0.0234362 0.23298961 -0.2213072 -0.1684242 0.39865541 0.22467688 0.13516961 0.00935791 -0.1695588
11431 1.69857046 1.4961564 1.74016031 1.70959681 1.71114365 1.49824443 1.74945365 1.71262751 1.67803626 1.73173825 1.63923904 1.73448891 1.64248217 1.7077504 1.50532398 1.66781659 1.62342733 1.85537294 1.70386148 1.64500764 1.63373242 1.63526381 1.54791198 1.65977643 1.73831809 1.41316157 1.64884844 1.5066792 1.60330735 1.77772845
11432 -0.4418689 -0.6763231 -0.6163163 -0.545162 -0.4587965 -0.1774189 -0.819489 -0.6364095 -0.5745794 -0.8891427 -0.636756 -1.1294707 -0.5660381 -0.6153635 -0.3699042 -0.5911866 -0.391518 -0.6518484 -0.6142206 -0.5943784 -0.7048437 -0.7873673 -0.5310183 -0.7918709 -0.4609041 -0.5285146 -0.5407981 -0.7316334 -0.3792353 -0.6981598
11433 -0.7127861 -0.9590909 -0.3773424 -0.4689442 -0.5183074 -0.5787944 -0.4798389 -0.5341251 -0.878416 -0.4201971 -0.5330884 -0.545678 -0.8156082 -0.3974752 -0.8747633 -0.6387199 -0.3988025 -0.5748763 -0.4660568 0.07643922 -0.3137785 -0.524764 -0.7483095 -0.4808966 -0.4005732 -0.6215011 -0.5032069 -0.4638309 -1.3295433 -0.6566277
11472 -2.5217833 -1.399249 -1.5749149 -1.433695 -1.4814018 -1.4573212 -1.731621 -1.6859667 -1.280529 -1.6961861 -1.0673459 -1.7264264 -1.6594821 -1.1843704 -1.0319783 -0.7008596 -1.5574559 -1.7898968 -1.7555715 -1.8143498 -1.5123115 -0.6895754 -1.0726402 -0.9005483 -1.8991536 -1.4526103 -1.7655277 -1.6863625 -0.6555757 -1.313696
11474 -0.5080661 -0.9789198 -0.5208289 -0.641634 -0.7487027 -1.4847171 -0.7424214 -0.9274296 -0.8809649 -0.844391 -1.0119537 -0.8863318 -0.7634346 -0.7237904 -0.7837892 -1.0362078 -0.7648945 -0.735475 -0.7485574 -1.0036039 -1.2262237 -0.957801 -1.0129693 -1.2311796 -0.6667878 -0.3733576 -0.8673363 -0.8051696 -1.0187146 -0.9931659
11475 0.19630666 -0.062497 0.28808085 0.21261687 0.10480454 -0.2611779 -0.1121684 -0.2450008 -0.0142256 0.16446648 -0.3084882 -0.0949704 0.10549916 0.05024673 -0.2222802 -0.4352333 -0.0276849 0.31139607 -0.1838468 -0.0888857 -0.0671976 -0.704747 -0.2050159 0.01478787 0.05389943 0.00667079 0.19125864 -0.2153939 -0.4618609 -0.0861539
