Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11303 1.37267351 1.52396838 1.3878877 1.14793137 1.23461805 1.27753433 1.2896354 1.2248058 1.09521503 1.53709481 1.11992441 1.47515204 1.41364207 1.1452303 1.27857474 1.35573957 1.58873007 1.51077169 1.47291058 1.35220744 1.56227406 1.15234408 1.52476914 1.13546438 1.03334819
11350 -0.0506423 0.26294694 0.20558358 0.08778475 0.01190081 -0.031958 0.03761939 0.06177688 -0.139579 0.60618984 0.0371966 0.29254164 0.22943892 0.37277275 0.14673802 0.05759217 0.44063163 0.18526757 0.22284582 0.01871099 0.16151358 0.26489995 0.19533075 -0.0681342 -0.1932038
11352 0.588330993 0.61823588 0.736020088 0.686662608 0.558140763 0.620327498 0.794296098 0.663413273 0.488765058 0.616260493 0.625102465 0.673472618 0.585259178 0.482221198 0.667962323 0.608177578 0.415488568 0.684933828 0.641395295 0.738530073 0.590510378 0.654522883 0.6801669 0.65202508 0.632650148
11363 0.385372387 0.624093197 0.586192517 0.2055981 0.113406833 0.34943054 0.489791967 0.352427753 0.147766653 0.893907913 0.298321413 0.68719132 0.671375467 0.44045102 0.16560764 0.274142707 0.71164949 0.596546343 0.674260103 0.374825627 0.450212133 0.220980823 0.648388857 0.120945927 -0.04013995
11364 -2.1021214 -2.1554408 -1.6942047 -1.8961575 -2.3396468 -2.2761053 -3.5730998 -2.7072058 -2.7488909 -1.334198 -2.0090553 -1.8984035 -2.011888 -1.6995528 -2.1611494 -2.2492471 -1.5961213 -2.103409 -1.6910662 -2.8491903 -1.8923174 -1.8842922 -2.1764184 -2.026647 -3.1683269
11370 -0.4571493 -0.4749695 -0.5289811 -0.5250277 -0.5325866 -0.5299638 -0.5327712 -0.4720698 -0.133645 -0.5524063 -0.4510852 -0.5716964 -0.4411701 -0.4406679 -0.5117332 -0.3432705 -0.7313331 -0.4154928 -0.5286833 -0.439671 -0.5829163 -0.5946393 -0.4917038 -0.4152058 -0.3718094
11409 -0.0312086 -0.3179651 -0.1121358 -0.3412426 -0.4076224 -0.399988 -0.4478559 -0.1479552 -0.6455826 -0.2138024 -0.2898102 0.14327947 -0.0113473 0.01184759 -0.1977383 -0.4062717 -0.3526991 0.12245808 -0.2259026 -0.5221309 -0.3077885 -0.5755787 0.32595294 -0.2246509 -0.3892487
11418 -1.2662102 -1.2831121 -1.4015615 -1.2357755 -0.822914 -1.2658557 -1.3711595 -1.0729013 -1.1943717 -1.2933439 -1.4354168 -1.2341049 -1.2285294 -1.3343773 -1.3293392 -1.0260045 -1.1441422 -1.3673826 -1.549537 -1.2817565 -1.3147868 -1.3868565 -1.3946787 -1.2393238 -1.226646
