Gene	EFA2a	EFA2b	EFA2c	EFA2d	EFA2e	EFA3a	EFA3b	EFA3c	EFA3d	EFA3e	EFA4a	EFA4b	EFA4c	EFA4d	EFA4e	EMA2b	EMA2c	EMA2d	EMA2e	EMA3a	EMA3c	EMA3d	EMA3e	EMA4a	EMA4b	EMA4c	EMA4d	EMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	16	16	16	16	24	24	24	24	24
11287 1.41954958 1.32064185 1.40553094 1.50708759 1.51893258 1.3234363 1.26835223 1.37473247 1.39211993 1.46499782 1.63955092 1.33095558 1.46787269 1.57079723 1.02287554 1.17725265 1.47030635 1.34288664 1.47135543 1.20413744 1.2480321 1.38441857 1.37762756 1.33530754 1.51750295 1.04176231 1.4049766 1.42990462
11303 0.77999681 0.50722663 0.48156357 0.49517926 0.42423696 0.4252899 0.67858365 0.61992384 0.58566845 0.4460905 0.27227734 0.53750752 0.56174979 0.44253518 0.61011565 0.47765699 0.31603146 0.32523718 0.58558524 0.65690727 0.53226261 0.58545232 0.36561998 0.46846051 0.28871083 0.65007267 0.63222225 0.42783198
11350 0.37165736 0.23868904 0.28863853 0.16874711 0.37191176 0.34765119 0.5904503 0.43315314 0.45207456 0.18117288 0.45093373 0.21665871 0.59170299 0.39257008 0.29430993 0.22916995 0.31361549 0.26067513 0.30633052 0.60059251 0.48430016 0.51031065 0.33103639 0.4092507 0.36790189 0.37885794 0.44228468 0.39781745
11352 1.053639278 1.168851258 1.134633375 1.115466465 1.020514153 1.044716408 1.052919975 1.186979525 1.02824562 1.05651902 1.11944923 1.016865905 1.034286213 1.055094768 1.094744595 1.097684523 1.070621528 1.141714405 1.007962775 1.01838995 1.053079895 1.049660843 1.143273915 1.09535461 1.058767655 1.052854068 1.124148668 0.992623105
11363 -1.1956757 -0.740545467 -0.780872033 -0.931523433 -0.7078228 -0.710949867 -0.751615467 -1.257434767 -0.521615533 -0.7908495 -0.50387038 -0.567477033 -0.654784667 -0.786209133 -1.0956942 -0.7619447 -0.5340194 -0.5849511 -0.928136033 -0.8674777 -0.921310833 -0.905931533 -0.485669333 -0.662860967 -0.761534467 -1.058675967 -0.7759959 -0.640855733
11364 -1.0654113 -0.6774237 -0.6209521 -0.6923376 -0.9180378 -0.4800939 -0.3203507 -0.8208216 -0.2266025 -0.6324102 -0.9294711 -0.7412719 -0.440073 -0.6851544 -0.6562228 -0.9040226 -0.4827191 -0.6646801 -0.7723756 -0.5507637 -0.3959236 -0.4054898 -0.601981 -0.4869382 -0.7783136 -0.437148 -0.5209435 -0.2908892
11370 -0.4181812 -0.0535287 0.06902451 -0.0791632 -0.0621996 0.185833 -0.0872019 -0.0855715 0.22221621 -0.3177699 -0.2052372 0.03208569 0.19969653 0.07326606 0.01941265 -0.2425757 -0.0181392 0.09794066 0.03335721 -0.1561229 -0.3005494 0.06359832 0.05914439 0.02226582 0.02121772 -0.3029886 0.04684572 0.08809041
11409 -0.4618277 -0.3338247 -0.2928874 -0.229836 -0.3230608 -0.1579894 -0.3492582 -0.4273288 -0.2999293 -0.3277161 -0.4630126 -0.6167657 -0.7593408 -0.4225339 -0.0964293 -0.4589627 -0.5060146 -0.3626705 -0.3860975 -0.5199397 -0.0580308 -0.2008006 -0.4143889 -0.296398 -0.3109683 -0.1834619 -0.3169695 -0.3194427
11418 -1.6070362 -1.413482 -1.6741938 -2.0423088 -2.0830509 -2.0150084 -2.5991081 -2.1804373 -1.6944213 -1.8378242 -2.0976378 -1.8184059 -2.1061105 -2.038425 -2.0121105 -0.8597654 -2.2626655 -1.9436755 -1.2864518 -2.2559018 -1.8987169 -2.2460911 -2.0366843 -1.6747248 -2.3692372 -1.5546264 -2.3887286 -2.0652015
11428 -0.3595065 -0.2857606 -0.10795 -0.8160617 -0.6208496 -0.775752 -0.4677793 -0.3268361 -0.5303524 -0.4494635 -0.7794428 -0.2668014 -0.5823993 -0.6453818 -0.0328781 -0.3453159 -0.6372603 -0.6420177 -0.5295664 0.19043672 -0.3660157 -0.4401951 -0.8825004 -0.7331512 -0.5417656 -0.4867145 -0.7271114 -0.5261057
11429 0.41645722 0.49032651 0.53729676 0.4658011 0.47765911 0.50819326 0.45373348 0.41511316 0.48746697 0.45360617 0.17475901 0.39726325 0.41802679 0.52913798 0.47406577 0.55716846 0.48549327 0.53037084 0.44733896 0.47946665 0.50643352 0.38297346 0.59441608 0.5321561 0.51450849 0.54005067 0.34932713 0.54906854
11431 1.41098433 1.73925963 1.87215729 1.91130721 1.70120875 1.68117165 1.42529273 1.21282836 1.91257798 1.5090537 1.53668385 2.12669302 1.66692942 1.87592473 1.49519091 1.80009201 1.81412105 1.97111955 1.59049735 1.49721616 1.54017709 1.48343806 1.78456834 1.77327834 1.54052921 1.09367846 1.6060005 2.08997048
