Gene	GMA2a	GMA2b	GMA2c	GMA2d	GMA2e	GMA3a	GMA3b	GMA3c	GMA3d	GMA3e	GMA4a	GMA4b	GMA4c	GMA4d	GMA4e	GMA2a.1	GMA2b.1	GMA2c.1	GMA2d.1	GMA2e.1	GMA3a.1	GMA3b.1	GMA3c.1	GMA3d.1	GMA3e.1	GMA4a.1	GMA4b.1	GMA4c.1	GMA4d.1	GMA4e.1
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 1.45825381 1.48291021 1.43357687 1.57197786 1.42043141 1.64268722 1.57502117 1.49672406 1.50155926 1.48820446 1.6481321 1.59945249 1.31133047 1.4393315 1.57009978 1.45825381 1.48291021 1.43357687 1.57197786 1.42043141 1.64268722 1.57502117 1.49672406 1.50155926 1.48820446 1.6481321 1.59945249 1.31133047 1.4393315 1.57009978
11303 1.23378582 1.10611404 1.16404638 1.07969572 1.13917162 1.07799351 0.98376168 0.99374374 1.06435713 1.17858203 0.98349097 1.10065521 1.06707426 1.0696594 1.06972278 1.23378582 1.10611404 1.16404638 1.07969572 1.13917162 1.07799351 0.98376168 0.99374374 1.06435713 1.17858203 0.98349097 1.10065521 1.06707426 1.0696594 1.06972278
11350 -0.2754285 -0.0257292 -0.1005492 -0.2436625 0.02180943 -0.3589136 -0.1343837 -0.1544761 -0.335249 -0.1867186 -0.3926754 -0.1933391 0.02288324 -0.2670547 -0.1531175 -0.2754285 -0.0257292 -0.1005492 -0.2436625 0.02180943 -0.3589136 -0.1343837 -0.1544761 -0.335249 -0.1867186 -0.3926754 -0.1933391 0.02288324 -0.2670547 -0.1531175
11352 0.689135608 0.537726113 0.607318945 0.584298108 0.489364025 0.598873908 0.509080088 0.55997568 0.608679843 0.617731655 0.59102142 0.58215605 0.603288223 0.648983455 0.53709547 0.689135608 0.537726113 0.607318945 0.584298108 0.489364025 0.598873908 0.509080088 0.55997568 0.608679843 0.617731655 0.59102142 0.58215605 0.603288223 0.648983455 0.53709547
11363 -1.057538367 -0.8233686 -0.858205067 -0.944281267 -0.996447867 -0.995263133 -1.026480367 -0.9314436 -0.999559867 -1.003862533 -0.890522033 -0.981591167 -0.918951833 -0.988341233 -0.903911733 -1.057538367 -0.8233686 -0.858205067 -0.944281267 -0.996447867 -0.995263133 -1.026480367 -0.9314436 -0.999559867 -1.003862533 -0.890522033 -0.981591167 -0.918951833 -0.988341233 -0.903911733
11364 -1.2402249 -0.8955489 -0.9852611 -1.3163701 -1.0965574 -1.2433162 -1.3888312 -1.0822096 -1.2069366 -1.043995 -1.2391261 -1.1845546 -0.7925428 -1.2987311 -1.0923031 -1.2402249 -0.8955489 -0.9852611 -1.3163701 -1.0965574 -1.2433162 -1.3888312 -1.0822096 -1.2069366 -1.043995 -1.2391261 -1.1845546 -0.7925428 -1.2987311 -1.0923031
11370 -0.5564332 -0.3899527 -0.4671175 -0.6001701 -0.4780547 -0.4124702 -0.4083282 -0.3827678 -0.3284754 -0.3889829 -0.2846983 -0.4497673 -0.4884883 -0.5258048 -0.4555694 -0.5564332 -0.3899527 -0.4671175 -0.6001701 -0.4780547 -0.4124702 -0.4083282 -0.3827678 -0.3284754 -0.3889829 -0.2846983 -0.4497673 -0.4884883 -0.5258048 -0.4555694
11409 -0.2786477 -0.4871162 -0.078836 -0.0934372 -0.2522631 -0.1308525 -0.3456109 -0.3357223 -0.1101107 -0.1926117 -0.3276612 -0.2744374 -0.1944689 -0.0999267 -0.2809912 -0.2786477 -0.4871162 -0.078836 -0.0934372 -0.2522631 -0.1308525 -0.3456109 -0.3357223 -0.1101107 -0.1926117 -0.3276612 -0.2744374 -0.1944689 -0.0999267 -0.2809912
11418 -1.876273 -1.795837 -1.9112885 -1.8326667 -2.0389517 -1.4426305 -1.7836081 -1.8359741 -1.8315293 -1.9897246 -1.7111375 -1.913535 -3.0707106 -1.863176 -1.7781699 -1.876273 -1.795837 -1.9112885 -1.8326667 -2.0389517 -1.4426305 -1.7836081 -1.8359741 -1.8315293 -1.9897246 -1.7111375 -1.913535 -3.0707106 -1.863176 -1.7781699
11428 -1.1234904 -1.0231957 -1.0255525 -1.0681349 -1.0246479 -1.1313462 -0.9807454 -1.0368721 -1.2345947 -1.1812377 -0.9052909 -0.9292551 -1.0052159 -1.1220619 -1.0918261 -1.1234904 -1.0231957 -1.0255525 -1.0681349 -1.0246479 -1.1313462 -0.9807454 -1.0368721 -1.2345947 -1.1812377 -0.9052909 -0.9292551 -1.0052159 -1.1220619 -1.0918261
11429 0.14066525 -0.0196973 0.17622715 0.12178725 0.01296518 0.09491491 -0.1226991 -0.0206861 0.08386078 -0.0128579 0.0257332 -0.031145 0.05821789 0.10284591 0.00504634 0.14066525 -0.0196973 0.17622715 0.12178725 0.01296518 0.09491491 -0.1226991 -0.0206861 0.08386078 -0.0128579 0.0257332 -0.031145 0.05821789 0.10284591 0.00504634
11431 1.70142684 1.79333909 1.60551529 1.65919324 1.5332301 1.75915444 1.59958523 1.80949591 1.66365471 1.62331802 1.85498633 1.66880214 1.60916228 1.68692568 1.60640464 1.70142684 1.79333909 1.60551529 1.65919324 1.5332301 1.75915444 1.59958523 1.80949591 1.66365471 1.62331802 1.85498633 1.66880214 1.60916228 1.68692568 1.60640464
11432 -0.9796734 -0.9874207 -1.0371056 -0.8757949 -0.9072225 -0.7674586 -0.9916595 -1.0726462 -0.9919953 -1.0426107 -1.0385235 -0.9445813 -0.9728821 -0.9530309 -0.8293405 -0.9796734 -0.9874207 -1.0371056 -0.8757949 -0.9072225 -0.7674586 -0.9916595 -1.0726462 -0.9919953 -1.0426107 -1.0385235 -0.9445813 -0.9728821 -0.9530309 -0.8293405
11433 -0.4810323 -0.363185 -0.5220877 -0.2266576 -0.3106734 -0.2721958 -0.3168693 -0.258128 -0.3942518 -0.3707353 -0.2647667 -0.2330397 -0.3651742 -0.3090132 -0.2573362 -0.4810323 -0.363185 -0.5220877 -0.2266576 -0.3106734 -0.2721958 -0.3168693 -0.258128 -0.3942518 -0.3707353 -0.2647667 -0.2330397 -0.3651742 -0.3090132 -0.2573362
