Gene	HFA2a	HFA2b	HFA2c	HFA2d	HFA2e	HFA3a	HFA3b	HFA3c	HFA3d	HFA3e	HFA4a	HFA4b	HFA4c	HFA4d	HFA4e	HMA2a	HMA2b	HMA2c	HMA2d	HMA2e	HMA3a	HMA3b	HMA3c	HMA3d	HMA3e	HMA4b	HMA4c	HMA4d	HMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 0.55904748 0.68004923 -0.147982 0.66262867 0.45157893 0.38828736 0.69699618 0.86498924 0.33040784 0.32139516 0.59411499 0.59762125 0.62672316 0.59301285 0.67375569 0.67601786 0.7135018 0.11184056 0.49028585 0.57005328 0.36723608 0.26237141 0.50160122 0.35665689 0.05781629 0.33598896 0.65091679 0.52765166 0.25726181
11303 0.5938201 0.69161147 0.69811594 0.53148838 0.36646858 0.34225127 0.70311316 0.57078592 0.48010541 0.71807045 0.61595244 0.59628557 0.70930258 0.35166469 0.68271705 0.74778601 0.73265954 0.35193957 0.56700777 0.52905347 0.68235364 0.54776723 0.53901548 0.71950616 0.53415303 0.59401681 0.57408715 0.72563865 0.51336532
11350 0.38666518 0.44671836 0.54362736 0.45112229 0.51720183 0.28034533 0.39611641 0.49651979 0.3476384 0.70576859 0.38844086 0.45045056 0.54469606 0.3501954 0.35132858 0.3446229 0.545002 0.25557524 0.45752685 0.51531032 0.60143678 0.43249489 0.29203141 0.44839053 0.18247618 0.48025253 0.24989518 0.32833387 0.2393751
11352 0.534241768 0.394110478 0.8597174 0.588407775 0.488310763 0.45698782 0.448940368 0.453726778 0.59167223 0.519285553 0.45220615 0.309525045 0.497610078 0.540632295 0.456506815 0.391247313 0.318333145 0.960784483 0.467301475 0.41535047 0.58485657 0.492614838 0.542925755 0.46485818 0.672714665 0.386327983 0.483942125 0.448217868 0.52826397
11363 0.122529297 0.270366377 0.271891767 0.38185286 0.296301263 0.144205407 0.16604496 0.271896003 0.063050723 0.42165895 0.397711857 0.328368627 0.328295363 -0.136510933 0.1959167 0.37347173 0.68441987 -0.3510967 0.48293439 0.44651977 0.329549397 0.303753797 0.217734543 0.277037547 -0.191405833 0.32553986 0.140791357 0.145575017 0.037750647
11364 0.01831743 0.34709866 0.32041666 0.08057161 0.13835262 0.19983989 0.12550438 0.27591012 -0.1105951 0.46778603 0.48334878 0.35352383 0.24640575 -0.3145789 0.42147719 0.38197447 0.63064732 -0.6652581 0.55077816 0.40162025 0.44480228 0.27588544 0.28614954 0.39033841 -0.3990552 0.31996126 0.35538646 0.19771469 0.0555263
11370 0.04370429 0.44782022 0.18562325 0.11630811 0.26700307 0.46509606 0.35978865 0.34492431 0.42657106 -0.1109804 0.43356559 0.16130588 0.34919563 0.36419675 0.33591507 0.25895315 0.14623992 0.37982876 0.24913709 0.31720235 0.05672167 0.28144469 0.28360921 0.47352322 0.61388078 0.15273589 0.35386914 -0.0288405 0.49400891
11409 0.36211182 0.17385791 0.3105882 0.29171912 0.30293832 0.37922103 0.24261924 0.24090118 0.58527838 0.12721544 0.29675956 0.14466918 0.3872286 0.46008084 0.26444502 0.36618778 0.00274232 0.37908756 0.26741564 0.09279122 0.12186801 0.53172832 0.37385927 0.38960795 0.76341643 0.27615369 0.32448239 0.49684333 0.50909299
11418 -1.8575647 -2.1284189 -2.1128158 -2.3038176 -2.2070279 -1.9800807 -2.53807 -2.2439327 -1.6092617 -2.5072679 -2.1109426 -2.385595 -2.3706892 -1.4438714 -1.8706887 -2.1251394 -2.2967946 -1.5865308 -2.5551038 -2.2903151 -2.2561728 -2.4626012 -2.153985 -2.5540312 -0.8985205 -2.1445815 -2.0821994 -2.0021563 -1.529577
