Gene	KFA2a	KFA2b	KFA2c	KFA2d	KFA2e	KFA3a	KFA3b	KFA3c	KFA3d	KFA3e	KFA4a	KFA4b	KFA4c	KFA4d	KFA4e	KMA2a	KMA2b	KMA2c	KMA2d	KMA2e	KMA3a	KMA3b	KMA3c	KMA3d	KMA3e	KMA4a	KMA4b	KMA4c	KMA4d	KMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 0.92493472 0.77974126 1.12764793 0.97942562 1.08599551 0.98595432 1.06766871 0.97241617 1.14456401 1.23943573 0.93598121 0.95373259 1.1344925 0.95225932 0.5950494 0.74423736 0.88253932 1.11985675 1.01491557 0.95138079 0.9423485 1.11151593 0.93146509 0.88220621 0.77900105 1.12824983 1.28236597 1.11044869 0.93197518 1.31119238
11303 0.42571558 0.23758416 0.48004369 0.45389393 0.3268138 0.47192208 0.44381671 0.46690456 0.51454056 0.44317251 0.19019323 0.33542114 0.39320148 0.53090225 0.44858119 0.4723361 0.34771134 0.5039248 0.54397223 0.40924838 0.55636911 0.40622017 0.48845712 0.37931998 0.47684075 0.6082552 0.48423361 0.4398559 0.21159182 0.34090544
11350 0.633424 0.47916273 0.46842065 0.50611219 0.5176328 0.2499616 0.33098742 0.62912827 0.67142391 0.44045903 0.58272349 0.54069503 0.56552812 0.56554862 0.47093036 0.24030657 0.42932605 0.49767232 0.63528886 0.53532892 0.73084235 0.18301192 0.579033 0.63332994 0.51343265 0.62638759 0.57119176 0.34540261 0.30509 0.46470367
11352 0.484989933 0.814918965 0.474832748 0.352294958 0.479382928 0.45971097 0.525214188 0.452136585 0.348152563 0.337875173 0.493145183 0.533612778 0.533042813 0.39804774 0.505437125 0.541831928 0.447909423 0.364365355 0.369309725 0.48369026 0.303532695 0.363928795 0.4792739 0.528300858 0.506595998 0.348959833 0.500575493 0.435059398 0.433826508 0.437287
11363 -0.693760767 -0.566990867 -0.7800013 -0.6949163 -0.8069764 -0.827247567 -0.467932567 -0.6615452 -0.812559133 -0.754223767 -0.618297067 -0.857011 -0.813851667 -0.8357643 -0.9133935 -0.406736433 -0.476389467 -0.776164233 -0.690463633 -0.9103265 -0.766051667 -0.657507233 -0.801913633 -0.7753603 -0.6379024 -0.8452378 -0.8199677 -0.5526343 -0.602765 -0.826385267
11364 -0.467196 -0.3119658 -0.0886139 -0.0384968 -0.3350188 0.05524963 -0.1889823 0.11078529 -0.2322431 -0.5474078 -0.1800723 -0.2197221 -0.1931597 -0.1240506 -0.1218974 -0.3212887 -0.2988967 -0.103977 -0.0128632 -0.4316454 -0.2316431 -0.2228357 -0.4117376 -0.303942 -0.0820102 -0.248628 -0.6287465 -0.4599713 -0.5452623 -0.6783816
11370 -0.0124717 -0.0210801 0.01795964 0.18283916 -0.0619574 0.0192274 0.12183384 0.15025694 0.03379746 -0.0102805 -0.0353617 -0.1051765 0.04152542 0.16148673 0.06303141 0.11062562 -0.0212125 0.06387101 -0.3265802 -0.0197215 0.10897387 0.03406516 -0.0870317 0.02173778 -0.0440031 0.19138792 0.02946111 0.18009767 -0.3058205 -0.0805124
11409 0.10611189 -0.1461299 -0.1156184 0.18350443 0.15145959 -0.0501502 0.03187482 0.22975454 -0.1860381 -0.2426261 0.09407563 0.23281891 0.2181166 0.01255904 0.00562942 0.01348795 0.04055257 -0.4025461 -0.0128171 0.38574912 0.35771678 0.22492298 0.40161393 0.20783596 -0.0045066 0.13908858 0.11113623 0.19706488 0.18446748 0.02656174
11418 -2.4019374 -2.4106837 -2.6779019 -3.0751766 -2.9027757 -2.3286201 -2.6502418 -2.6789599 -2.7468549 -2.4860974 -0.7628266 -2.1836633 -2.4740718 -2.3503021 -2.5069186 -2.0189282 -1.6010888 -2.5661476 -2.4634803 -2.7464804 -2.8441285 -1.98082 -2.3863604 -2.7013343 -2.6435785 -2.3732412 -2.1993921 -2.3590201 -2.4616008 -2.7880399
11428 -0.2521998 -0.6860995 -0.2868672 -0.1831551 -0.7193655 -0.3821698 -0.4133708 -0.1546245 -0.5901986 -0.8081192 -0.5569915 -0.2772837 -0.3023334 -0.1921131 -0.3815194 -0.6850625 -0.0388144 -0.4001033 -0.502056 -0.0082174 -0.2699777 -0.446277 -0.4505892 -0.4885968 -0.2386825 -0.147395 -0.4304587 -0.4415124 -0.4179206 -0.5116262
11429 0.87795286 0.88574065 0.86069302 0.93307343 0.99495081 1.00098514 0.89581253 0.58493856 0.81996624 0.78503139 0.88345421 1.00656309 0.94289262 0.86514552 1.04388196 1.13010934 0.69331609 0.92259545 0.88866066 1.01719708 0.81227719 0.94998703 0.99037726 0.8129674 1.12234762 0.87516054 0.92860283 0.8610732 0.98737048 0.67931426
11431 1.79678702 1.70108003 1.63626954 2.0840153 1.43234953 1.72932566 2.00414453 1.8735839 1.9704777 2.0255258 1.67973757 1.77432021 1.7863486 1.72239038 1.77785708 1.77798782 1.8918506 1.9468231 1.68140131 1.814813 1.80627484 1.89344414 1.55652897 1.15105456 1.78116732 1.77228341 1.77843339 1.61299816 1.41485621 1.66166924
11432 -0.0317769 0.30998866 0.09081978 -0.1211835 0.12339202 0.19071577 -0.0323768 -0.0984175 0.00083514 0.14435251 0.11263095 0.21728809 0.10838763 0.14058297 -0.0654731 0.39312793 -0.019001 -0.0046375 0.31924406 0.15994269 -0.1078585 0.12373752 0.03246745 0.39766087 -0.2209143 0.0834011 0.12274247 0.17555866 0.25929336 0.20463317
11433 0.76791155 0.44081761 0.75808787 0.48946097 0.6280353 0.66203499 0.62280066 0.57375759 0.50845493 0.43629244 0.43633975 0.57177525 0.64237561 0.53761897 0.37210865 0.5735966 0.54677816 0.76883811 0.6240157 0.53116302 0.46123784 0.55434433 0.64511859 0.63534542 0.64398574 0.55903826 0.52291153 0.67499368 0.69116983 0.63977156
11472 0.71621573 0.37885445 0.58417205 0.47703291 0.62711132 0.58985271 0.48895559 0.51612633 0.53220584 0.55442642 0.67850455 0.55526388 0.53375879 0.54355872 0.88027906 0.48850824 0.41825877 0.70549033 0.33143857 0.65225912 0.37984756 0.48393859 0.59913462 0.491261 0.45309694 0.69394097 0.50991592 0.48513276 0.47234504 0.59864751
11474 -0.2709423 0.28433253 -0.4755591 0.00790098 -0.3782703 -0.3337724 -0.3135821 -0.0446807 -0.4460011 -0.5294248 0.17369348 -0.0042952 -0.1927356 0.11336173 -0.1537648 0.26616309 0.21314319 -0.253238 -0.1716788 -0.1974511 -0.2990014 -0.0997717 0.17774145 0.05126459 -0.388331 -0.2876504 -0.1470258 0.2876196 -0.0310081 -0.2340201
11475 -0.1057343 -0.0963157 0.13539739 0.22790535 0.04897137 -0.003955 -0.1239052 0.11417338 0.00998169 0.19162435 0.07548746 0.04641436 -0.049307 0.19130552 -0.0877933 0.02833988 -0.0552556 0.10618002 0.19921207 -0.0085315 0.12932498 -0.0416383 -0.0320392 0.01879382 -0.0084281 0.0089922 -0.029055 0.22686327 -0.0956003 0.22688139
