Gene	LFA2b	LFA2c	LFA2d	LFA2e	LFA3b	LFA3c	LFA3d	LFA3e	LFA4b	LFA4c	LFA4d	LFA4e	LMA2a	LMA2b	LMA2c	LMA2d	LMA2e	LMA3b	LMA3c	LMA3e	LMA4a	LMA4b	LMA4d	LMA4e
Gene	6	6	6	6	16	16	16	16	24	24	24	24	6	6	6	6	6	16	16	16	24	24	24	24
11287 0.49333617 0.81803215 0.48895257 1.24960737 0.84734693 0.47045718 1.0552954 0.84255218 0.3269573 1.20692076 0.72034352 1.17295901 0.774437 0.35539905 0.46529842 0.57305146 1.22467081 0.44272662 0.89614078 0.48300976 1.20042755 0.54536997 0.86862312 1.02702919
11303 0.37589067 0.26447216 0.50176177 0.06754825 0.36627828 0.25278188 0.12383274 0.38027682 0.25953714 0.57752713 0.22376146 0.09469376 0.4050273 0.24032013 0.39710642 0.23977009 -0.0044714 0.10277203 0.16365595 0.35061671 0.04874649 0.21299826 0.5646887 0.15217669
11350 0.00874384 -0.5352103 -0.0950051 -0.2558018 0.04498321 -0.2332403 -0.5500395 -0.1533376 -0.0762892 0.09921824 -0.2396176 -0.2487875 -0.0988419 -0.2776323 -0.7123077 -0.4583446 -0.6931844 -0.3065724 -0.3169226 -0.6376596 -0.3306887 -0.3519583 0.11434702 -0.37057
11352 1.06645923 0.922918495 0.973614793 1.084051015 1.034557548 1.086477075 0.933603103 1.014204343 1.04385235 0.79328893 1.02117823 1.062317575 1.09435154 1.037562985 0.984839663 0.888576958 0.941678568 1.000388575 0.832054588 1.07413751 1.031127775 0.946040198 0.926737735 1.026306883
11363 -0.298675623 -0.484362547 -0.268979893 -0.312609633 -0.3849924 -0.507544317 -0.6871392 -0.379916477 -0.32047076 -0.320677967 -0.468383597 -0.422683067 -0.440262203 -0.34320901 -0.438555253 -0.3697648 -0.372054967 -0.246319027 -0.11685727 -0.54055067 -0.408526333 -0.299254593 -0.197240367 -0.24691452
11364 -0.3001501 -0.7132769 0.079542 -0.3693919 -0.1721908 -0.4746967 -1.054836 -0.4833468 -0.5615679 -0.2997373 -0.3191047 -0.273844 -0.4955007 -0.2646977 -0.3259158 -0.3666021 -0.4511186 -0.5903423 -0.4116839 -0.6149989 -0.6910859 -0.2773651 0.08385987 -0.6732145
11370 0.12340603 0.20135164 0.39820326 0.14199723 0.32578464 0.35506097 0.15156804 0.24039589 0.15957787 0.5740875 0.20794502 0.22312146 -0.0012686 0.32165199 0.25869368 0.29522648 0.27716159 0.07037742 0.29725828 0.29794616 0.23319384 0.2917807 0.53647751 0.02026079
11409 1.5041475 1.53463857 1.45480658 -0.1347549 -0.0362289 1.39344585 1.75313546 1.24957893 1.4867432 -0.0585856 1.36187395 1.00650534 1.33335727 1.26012304 1.78908246 1.3984293 0.02170886 1.62125461 1.10800452 1.87847952 -0.2514954 1.52094857 -0.0588417 1.3593824
11418 -1.9034964 -1.5014157 -1.5449745 -1.7490114 -1.5949702 -1.7853884 -1.872995 -1.9028139 -2.0498201 -1.960364 -1.4645908 -1.5417512 -1.5249383 -1.592688 -1.3756735 -1.3178793 -1.6425502 -1.5548593 -1.7689015 -1.5257588 -1.5971158 -1.7037818 -2.1161798 -2.1517849
11428 0.09195592 -0.1805486 0.17282466 -0.0705985 -0.0783537 0.10226227 0.1630457 -0.0041686 0.01025427 -0.1593702 0.03824189 0.0212219 -0.0992549 0.18783752 0.17805467 -0.0398317 -0.0420997 0.15328651 -0.1341925 0.23293834 -0.2777993 0.14245271 -0.0412541 -0.0167922
11429 0.80959024 0.69667375 0.6129885 0.22243816 0.45311879 0.62290082 0.53971811 0.54997467 0.80502768 -0.0170218 0.68075561 0.65191293 0.82233798 0.60673752 0.79877632 0.63564772 0.21533871 0.82521482 0.38945332 0.7488065 -0.0458176 0.67636825 0.33732701 0.49370751
11431 1.04389225 1.07020723 0.81244203 1.41563587 1.29866029 0.72552785 0.97448698 1.32967725 1.06423967 1.78668413 1.02864485 1.63105647 1.38659143 0.86496994 0.91323226 0.8705531 1.5900803 0.91489895 1.53040565 0.87942563 1.68597997 1.24309178 1.3351076 1.39706489
