Gene	LuFA2a	LuFA2b	LuFA2c	LuFA2d	LuFA2e	LuFA3a	LuFA3b	LuFA3c	LuFA3d	LuFA3e	LuFA4a	LuFA4b	LuFA4c	LuFA4d	LuFA4e	LuMA2a	LuMA2b	LuMA2c	LuMA2d	LuMA2e	LuMA3a	LuMA3b	LuMA3c	LuMA3d	LuMA3e	LuMA4a	LuMA4b	LuMA4c	LuMA4d	LuMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 0.75186172 0.87874813 0.63242476 0.76265118 0.25792879 0.47669349 0.7270158 0.70671205 0.51984369 0.4204853 0.81727808 0.79798733 0.3780882 0.86541152 0.77072868 0.85932552 0.34033992 0.62365546 0.44597548 0.92739333 0.33873445 0.42069265 0.88138794 1.17572793 0.70120157 0.75712502 0.63643638 0.84539608 1.02527855 0.58748946
11303 0.75560485 0.54035096 0.86561322 0.59209241 0.9633115 0.78946447 0.71344365 0.71182494 0.88206566 0.91250611 0.42754726 0.69773291 0.97793294 0.52442565 0.63331101 0.74939158 0.98858867 0.75520807 0.9563942 0.50163136 1.15695339 0.91178338 0.58910024 0.50647224 0.87344374 0.73894094 0.83583785 0.74762415 0.38871641 0.9261451
11350 0.78912828 0.81759747 0.80974591 0.71462239 0.86818691 0.90133994 0.70473278 0.79605877 0.88639002 0.88852055 0.75923303 0.82148959 0.89146003 0.75066332 0.9829352 0.72475966 0.86963515 0.77455324 0.72916645 0.4919542 0.93540184 0.75435357 0.91602139 0.77409057 0.7165662 0.6965806 0.90209337 1.00101115 0.52125278 0.82463032
11352 0.797166473 0.712340008 0.777681755 0.773938448 0.863965605 0.680358633 0.65525079 0.84527272 0.666070078 0.94326057 0.85586143 0.730874118 0.632262758 0.727885798 0.488715188 0.5630958 0.51096825 0.731205493 0.757181995 0.929902743 0.616125518 0.70535949 0.7277727 0.781758143 0.69874776 0.868553755 0.892848368 0.581771488 0.822281823 0.707017075
11363 0.31474412 0.086926173 -0.06519097 -0.323249387 -0.004939457 0.038376033 0.2908607 0.297979627 0.09552985 -0.311692743 -0.218194343 -0.164422397 -0.151797967 -0.22188757 0.042577243 0.576085413 0.50859234 0.066925763 -0.120298633 -0.28903138 0.346270343 0.209949757 0.063263597 -0.2872124 0.17724802 -0.4157211 -0.03780264 0.24267481 -0.105875473 0.1518818
11364 -1.4249886 -1.1591206 -1.0282807 -1.1940384 -1.3018864 -1.0332982 -1.6096067 -1.2319049 -1.0729605 -1.4014113 -1.7990219 -0.9656447 -1.0786313 -1.3059735 -0.9959868 -1.662238 -1.2165671 -1.0526558 -1.0953664 -1.6203378 -1.1213621 -0.7645267 -1.3984726 -1.5932356 -1.1401721 -1.8029265 -1.0700215 -1.1336622 -1.4699246 -1.1139285
11370 -0.3916236 -0.370052 0.04157435 -0.1514312 -0.0315649 0.03112995 -0.1520965 -0.3160275 -0.1027864 -0.0027066 -0.202949 -0.3717695 0.03445883 -0.1113908 -0.3474624 -0.3639929 -0.1449085 -0.0482152 0.02840802 -0.2225523 -0.2302074 0.09563227 -0.2981683 -0.4028892 0.06050268 -0.1497662 -0.0178791 -0.3011917 -0.2340118 -0.0572539
11409 -0.3707397 -0.134574 0.15893837 0.03165035 -0.0333161 0.12673989 0.0425796 -0.0051545 0.09093475 -0.0133195 -0.0672601 -0.3676705 0.09956124 0.20628556 0.01155613 0.09366445 -0.0936161 0.14343931 0.25359495 0.14774008 0.03151011 0.13211986 -0.0726956 -0.0666521 0.13305817 -0.0953112 0.44465364 -0.0880974 -0.4121272 0.06928133
11418 -2.2786822 -2.5723801 -2.5599792 -2.5015669 -2.5297207 -2.3380536 -2.3732864 -2.603064 -2.4022176 -2.3641407 -1.9248452 -1.9727256 -2.2416111 -2.4163732 -2.2964482 -2.3467602 -1.8114161 -2.8164942 -2.3177833 -1.9001692 -2.1045844 -2.6860756 -2.4978582 -2.1232392 -2.4843069 -1.8478429 -2.2642571 -2.6293465 -1.7592138 -2.3679228
11428 -1.0366676 -0.7016471 -0.560062 -0.7173705 -0.7800336 -0.6804267 -0.9480161 -0.6583656 -0.5920853 -0.6403447 -0.7958811 -0.2754495 -0.4908178 -0.873875 -0.7547247 -1.0436721 -0.6523971 -0.7708611 -0.596033 -0.7763561 -0.6541785 -0.4417966 -1.0134463 -0.9805391 -0.7176744 -0.4822663 -0.0862859 -0.8544499 -1.2569488 -0.7018441
11429 0.44505314 0.58900311 0.18451035 0.17433982 0.51964442 0.3531273 0.59098825 0.43282289 0.3453855 0.36558093 1.19707994 0.34755791 0.43571769 0.22932115 0.5216475 0.45926339 0.23157195 0.3368394 0.49788128 0.3552442 0.22522519 0.50196675 0.56247917 0.62907716 0.16013783 0.33667453 0.28016284 0.42490488 0.61259083 0.24275906
11431 1.97237525 2.03637899 1.7894572 1.70942152 1.5828804 1.58013982 1.91736707 2.0296671 1.66253712 1.9020086 1.52538591 1.86415059 1.80426997 1.89578233 1.92463171 1.86297066 1.67600963 1.72650577 1.23737092 1.96548371 1.55256374 1.60046145 1.81715944 1.34806775 1.88509197 1.94227071 1.87985047 1.92021555 2.0292135 1.74652682
11432 0.28278461 0.05451245 -0.4174789 -0.1167283 -0.3724457 -0.3597757 -0.0860933 -0.2313617 -0.4365629 -0.0685184 -0.0492501 0.56377091 -0.2603523 -0.265028 -0.1942588 -0.0223239 -0.2876996 -0.5958335 -0.235686 -0.2174274 0.04967994 -0.433008 -0.0243963 0.30356912 -0.4220268 -0.2438955 -0.2007679 -0.2497104 0.1878031 -0.2925793
11433 0.28607064 0.26960901 0.23008536 0.150542 0.12087935 0.36037851 0.09999418 0.16957397 0.1280752 -0.0594771 0.01328291 0.48454413 0.43504419 0.16192785 0.43347891 0.04894713 0.06661972 0.25630834 0.05019149 0.19674058 0.31764694 0.19154541 0.22477038 0.23647925 -0.0204108 0.21716945 0.06403396 0.43138687 0.11852351 0.17680126
11472 0.27460735 0.39771438 0.32807422 0.39200066 0.32651932 0.22018711 0.35566399 0.2173153 0.27929172 0.35292538 0.71612489 0.216405 0.38808882 0.36975792 0.417036 0.26143561 0.11484695 0.24123484 0.25179522 0.39791161 0.13748731 0.21890761 0.40719709 0.53337005 0.25841297 0.30899825 0.26276094 0.1963379 0.33562132 0.27533934
11474 -0.6138975 -0.0953004 -0.4589078 -0.4455104 -0.2509134 -0.3792022 0.02145388 -0.2726496 -0.1587723 -0.7245403 -0.1666832 -0.3269107 -0.3683392 -0.3798139 -0.3939208 -0.0027444 -0.215903 -0.2330107 -0.078768 -0.3761268 -0.3830537 -0.1186376 -0.1439013 -0.4641937 -0.3333684 -0.5376614 -0.2124687 -0.3316609 -0.2640747 -0.1575849
11475 0.20363064 0.29426743 0.60801829 0.50438826 0.48264382 0.59854238 0.3848602 0.28132297 0.57130761 0.41474622 0.31109059 0.17943599 0.33419914 0.48546211 0.47654236 0.37822824 0.49978498 0.64812787 0.60284571 0.06254053 0.46009692 0.42865167 0.34004992 0.46770718 0.5944361 0.34017293 0.50178244 0.21066851 0.30459622 -0.1178587
11479 -0.1313641 -0.2067468 -0.0522358 -0.2460911 -0.0784723 -0.0216542 -0.2212371 -0.2962324 -0.0602187 -0.2110633 -0.1495719 -0.2011835 -0.0593471 -0.1685586 -0.1420771 -0.3328153 -0.0614296 -0.0619668 -0.1619781 -0.3292705 -0.0614742 -0.0001023 -0.2211976 -0.3625752 -0.1495276 -0.2080212 -0.0748425 -0.0910961 -0.3261594 -0.0745303
11481 -1.3021621 -1.4233204 -1.1388972 -1.2550331 -1.0497185 -1.0868773 -1.2360449 -1.0834502 -1.1002446 -1.0451036 -1.1411039 -0.8267191 -1.0071631 -0.8505307 -0.8533676 -1.1321103 -1.0993566 -1.3374959 -1.3339561 -1.2126045 -1.1414433 -1.0416718 -1.373627 -1.3068053 -1.1382634 -1.0204787 -1.2548317 -1.2995724 -1.6249581 -1.1558564
11487 2.05504492 2.21590151 1.70520834 1.78342184 2.03135851 1.80801039 2.18954231 2.02256603 1.75892252 1.74482753 2.43792006 1.93131766 1.83316416 1.83771176 2.09232282 2.02377196 1.48218124 1.73166594 1.83788618 1.95962966 1.44225066 1.88357219 2.12517613 2.34478882 1.67738633 1.87015358 1.90296616 1.96827493 2.38598108 1.74070799
11490 0.78929287 0.70173403 0.75167968 0.8569099 0.26639905 0.49940906 0.59663741 0.52057719 0.5837831 0.71143374 0.53063126 0.77990366 0.70076244 0.75973683 0.72067459 0.66345693 0.47099453 0.69963113 0.47941923 0.78497643 0.60054413 0.38564599 0.69681186 0.76187944 0.56307193 0.75057897 0.20564109 0.8238209 0.67063661 0.69324654
11491 -0.917462018 -0.829072165 -1.179585858 -0.95735421 -1.348607113 -0.846561755 -1.153428113 -1.196053845 -1.29493726 -1.510670453 -0.935423185 -0.7967431 -1.08357956 -1.043559245 -1.316811243 -1.108177463 -1.02250157 -1.209148643 -1.282370348 -0.66082805 -0.97072003 -0.88725318 -1.000305278 -1.118679628 -1.034847828 -1.01947455 -1.04515925 -1.274607533 -1.076035745 -0.96235778
11492 -0.5168136 -0.6375655 -0.4733851 -0.4085435 -0.1954146 -0.4958947 -0.5405553 -0.6273346 -0.6308291 -0.4274856 -0.1103146 -0.3998393 -0.2447758 -0.3308838 -0.3647642 -0.4369365 -0.5704484 -0.6055923 -0.2946772 -0.4768991 -0.4457904 -0.3317024 -0.3111659 -0.2617989 -0.5192918 -0.5781885 -0.3240081 -0.5832283 -0.6316184 -0.4165259
11496 0.446896745 0.2325121 0.21413913 0.296641555 0.23952331 0.16575683 0.326835415 0.142285215 0.117775795 0.23747702 0.32956893 0.31507455 0.196001755 0.317994765 0.37085811 0.249830255 0.11274981 0.186625245 0.302536045 0.187790445 0.034554195 0.219601155 0.38780236 0.44079284 0.02548743 0.22253904 0.266217395 0.206015405 0.40736031 0.203873015
11501 -0.3629396 -0.8098313 -1.0670448 -1.0830945 -0.9285059 -1.0737811 -1.2250431 -0.8852275 -1.1184981 -1.1717868 -1.1953464 -0.9766924 -0.9853863 -1.1317597 -1.214627 -1.0945742 -0.8798912 -1.0017088 -1.1857298 -0.8406522 -0.9263742 -0.9775262 -1.1691065 -1.0922254 -1.3897429 -1.5580406 -0.4549718 -1.2648023 -1.466347 -1.1433564
11502 -1.2722958 -1.0207941 -1.2254308 -1.0358806 -1.3779735 -0.9914149 -1.1977661 -1.333275 -1.0787781 -1.5452225 -1.2644957 -1.2049695 -1.4282154 -1.1159168 -1.0665364 -1.0786409 -1.0547687 -0.9618871 -1.4284515 -1.0167265 -1.1160411 -1.1068534 -1.1307034 -1.1719586 -1.0642994 -1.2574921 -1.4937992 -1.0124797 -1.2936623 -1.1554956
