Gene	MsFA2a	MsFA2b	MsFA2c	MsFA2d	MsFA2e	MsFA3a	MsFA3b	MsFA3c	MsFA3d	MsFA3e	MsFA4a	MsFA4b	MsFA4c	MsFA4d	MsFA4e	MsMA2a	MsMA2b	MsMA2c	MsMA2d	MsMA2e	MsMA3a	MsMA3b	MsMA3c	MsMA3d	MsMA3e	MsMA4a	MsMA4b	MsMA4c	MsMA4d	MsMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 0.5918848 0.89710678 0.68685541 0.77180839 0.57598271 0.43879144 0.77572499 0.3708516 0.76266338 0.70162103 0.74225322 1.16978812 1.07363767 0.85433808 0.70721782 0.73370379 0.86828656 1.10403015 0.88460279 0.48870693 0.87313533 0.5565601 0.87094042 1.41605653 1.00878601 0.85671762 0.96009409 0.92007178 1.00280788 0.83744372
11303 0.83558719 0.89121176 0.87569987 0.94102546 0.76885847 0.78141606 0.91815803 0.85940627 0.91280873 0.9138772 0.90302384 0.87273574 0.76859251 0.93802436 0.91690582 0.86465328 0.96661796 0.87026824 0.9524323 0.84705586 0.90015966 0.8390837 0.81102037 1.00055429 0.94759011 0.92764566 0.87369734 0.80294428 1.06982588 1.0508303
11350 0.04777326 -0.2005028 -0.0596268 -0.0770147 -0.1139465 0.02510798 -0.0538947 -0.173943 -0.1944093 -0.0862202 -0.0490883 -0.0095307 -0.0724263 -0.0140234 0.09287663 -0.0531812 -0.0730642 -0.1698825 -0.1425089 0.05121047 -0.1096599 0.01037667 -0.0793909 -0.0946791 -0.0331444 -0.1197174 -0.1107163 -0.0884936 0.07625563 -0.044911
11352 0.610333178 0.585025778 0.590842773 0.59350899 0.62553315 0.694769035 0.630520938 0.673124083 0.57902026 0.629818468 0.645617905 0.54973643 0.6051922 0.577346993 0.621759898 0.560068698 0.589912125 0.534058443 0.604900343 0.64266321 0.5923601 0.634274908 0.6204101 0.549673233 0.605017015 0.560444485 0.608576945 0.606071458 0.62441465 0.61474837
11363 0.159904913 0.0772023 0.060623783 0.00736154 0.235489783 -0.03146803 0.18899507 0.201798973 0.11810593 0.105547603 0.36542889 -0.083953947 -0.02489293 -0.084515893 -0.067321973 0.101509023 -0.06717105 -0.107551007 -0.00220078 0.282443947 0.054876633 0.13960331 -0.023446477 -0.275987577 -0.022335237 -0.0746554 -0.144309343 0.01367951 0.13321288 0.063322333
11364 0.19039291 -0.008376 0.0278874 -0.1529089 0.25586141 -0.0176175 0.32212459 0.21746565 0.18934723 0.12779272 0.45838055 -0.0504343 -0.0645659 -0.1870349 0.18960463 0.1819179 -0.0778771 -0.2672563 -0.014474 0.10426349 -0.0075948 0.2965724 0.01928992 -0.3267456 -0.0509941 -0.2040449 -0.0639486 -0.2284365 0.04263341 0.16104693
11370 -0.4781785 -0.3378819 -0.322597 -0.4100751 -0.3691141 -0.4317684 -0.3956998 -0.3367448 -0.4074121 -0.4485791 -0.3531533 -0.3597947 -0.3028031 -0.4935581 -0.4743474 -0.4927569 -0.6477698 -0.3284868 -0.438229 -0.5831926 -0.4512553 -0.455301 -0.6193058 -0.4193911 -0.4761792 -0.4098781 -0.3502927 -0.7549308 -0.509559 -0.5349199
11409 0.36236743 0.64449677 0.61033798 0.79070954 0.82046999 1.20498324 -0.0598832 1.33657211 0.6250548 0.38694138 -0.0618228 0.39085431 0.09866668 0.80168857 0.87718352 0.79338216 0.42418216 0.32959465 0.71192438 1.02863857 0.34711299 0.7451301 0.75471424 -0.2590438 0.40626787 0.32421407 0.46554311 0.81625918 -0.0891779 0.76318427
11418 -1.3026818 -1.4181824 -1.3555426 -1.4028185 -1.3983561 -1.2633803 -0.9184235 -1.2915496 -1.3226364 -1.312139 -1.1193554 -1.4360829 -1.2557006 -1.4883466 -1.3115356 -1.5248425 -1.3791213 -1.45709 -1.4850511 -1.3173946 -1.3714982 -1.1026706 -1.4154574 -1.4946759 -1.5918342 -1.3434853 -1.3502177 -1.4859092 -1.4233132 -1.5327191
11428 -0.0765363 -0.4447932 -0.2414486 -0.3347763 -0.1836375 0.08952588 -0.2302059 0.19095495 -0.3129918 -0.2602262 -0.0222712 -0.3626819 -0.5268489 -0.3634123 -0.2079375 -0.1499588 -0.2849241 -0.5090705 -0.4792617 -0.084517 -0.2570127 -0.1576292 -0.2072323 -0.6067428 -0.3352072 -0.2215521 -0.423466 -0.1657719 -0.3158624 -0.3840059
11429 0.76625264 0.72993447 0.87382718 0.82798061 0.76810112 0.95915579 0.74454428 0.89943552 0.76409256 0.79404992 0.81651137 0.48374248 0.67999999 0.85669276 0.72100403 0.74413336 0.78030159 0.66557127 0.81323894 0.91267313 0.78601604 0.80488392 0.79349684 0.45690752 0.84109527 0.8450333 0.81428173 0.70718289 0.57715688 0.76226029
11431 1.14594563 1.23753832 1.1531605 1.03880642 1.24014013 0.89803034 1.32897714 0.95947235 1.1708985 1.2093267 1.17816877 1.57210361 1.53411047 1.13739176 1.22119332 1.34010857 1.19392128 1.49982817 1.26537021 1.00365999 1.34501429 1.08987339 1.18935398 1.54625641 1.06141672 1.23503003 1.32146854 1.25414591 1.38957789 1.20915257
11432 -0.4857049 -0.7315064 -0.5209474 -0.5432722 -0.8729266 -0.4696934 -0.7875215 -0.5530787 -0.4287561 -0.6383832 -0.7047939 -0.6593786 -0.7447111 -0.6299928 -0.632086 -0.7703173 -0.5718467 -0.5853751 -0.7413381 -0.5469585 -0.5461487 -0.6620652 -0.7313371 -0.745746 -0.3320613 -0.5546 -0.6854086 -0.6751327 -0.7033758 -0.7148605
11433 -0.6972876 -0.6604327 -0.6152993 -0.6198698 -0.5840188 -0.6544521 -0.5638949 -0.6047556 -0.6266961 -0.6239065 -0.6699948 -0.5671608 -0.5167672 -0.6432836 -0.6919566 -0.596544 -0.5752777 -0.5657247 -0.6122518 -0.5846289 -0.6761858 -0.7078726 -0.6505376 -0.4655746 -0.5668311 -0.6250624 -0.5718627 -0.6332506 -0.499223 -0.6321382
11472 -0.5291505 -0.0333271 -0.3112948 -0.0125818 -0.616119 -0.3842916 -0.4091107 -0.5650946 -0.3025744 -0.272752 -0.3244049 0.36303649 0.05978559 0.32722399 -0.1214863 -0.4247565 0.29777165 0.33103689 0.53080839 -0.316316 0.13728523 -0.4063477 -0.0106852 0.28288505 0.1239911 0.40044476 0.26721248 0.03166777 0.01910062 0.34342866
