Gene	SpFA2a	SpFA2b	SpFA2c	SpFA2d	SpFA2e	SpFA3a	SpFA3b	SpFA3c	SpFA3d	SpFA3e	SpFA4a	SpFA4b	SpFA4c	SpFA4d	SpFA4e	SpMA2a	SpMA2b	SpMA2c	SpMA2d	SpMA2e	SpMA3a	SpMA3b	SpMA3c	SpMA3d	SpMA3e	SpMA4a	SpMA4b	SpMA4c	SpMA4d	SpMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 0.63821584 0.76336687 0.99761934 0.85713176 0.72221652 0.57351091 0.63033392 0.66327078 0.62713298 0.84187182 0.69125839 0.52336862 0.74908473 0.94875534 0.5430585 0.66502704 0.70246325 0.95890049 0.80166921 1.97302496 0.72457975 0.69273926 0.61048713 0.59397894 0.66995579 0.80987583 0.68870808 0.65710595 0.73035981 0.74180905
11303 0.6492581 0.61028013 0.56196887 0.62528439 0.69711267 0.67404005 0.60558894 0.62794736 0.66772636 0.64366641 0.7155482 0.62074756 0.63743911 0.66971105 0.75378553 0.69801453 0.59265586 0.60393228 0.58503828 0.24999254 0.73415808 0.60469138 0.74114243 0.68768644 0.6555104 0.63409778 0.64242468 0.64028482 0.6397724 0.48542897
11350 0.52061065 0.39778867 0.14187795 0.35901031 0.51665124 0.40772547 0.49321893 0.45242162 0.54244352 0.5037756 0.46936972 0.46012731 0.48130486 0.63788317 0.52736348 0.51145332 0.43248894 0.42137656 0.4599898 0.12663122 0.52373309 0.48644905 0.67624024 0.56991998 0.56987347 0.51636844 0.49103107 0.61507658 0.35140587 0.47469123
11352 0.575397153 0.524637033 0.647386175 0.597889008 0.6340933 0.654698273 0.579610093 0.571035508 0.511089498 0.694793048 0.668705225 0.676854618 0.692046438 0.51152917 0.56421963 0.454902855 0.525342658 0.63814989 0.548694445 1.07576726 0.64050109 0.663832218 0.532186228 0.529015025 0.594891685 0.683707708 0.65815225 0.724338103 0.663488978 0.578224168
11363 -0.422462367 -0.382152567 -0.50092109 -0.621686967 -0.505400733 -0.5008579 -0.38770078 -0.400245367 -0.3976754 -0.563772167 -0.5203172 -0.4043088 -0.477854033 -0.4043516 -0.46913176 -0.33332967 -0.35038697 -0.378176 -0.532200147 -0.896091433 -0.6655471 -0.473236833 -0.487724467 -0.29904601 -0.373732127 -0.584178267 -0.348325773 -0.22808259 -0.485862567 -0.548214333
11364 -0.2603358 -0.2717829 -0.497873 -0.3456748 -0.6982837 -0.3360801 -0.401901 -0.4299318 -0.4343992 -0.5906474 -0.3434059 -0.3484029 -0.5253028 -0.296034 -0.3792179 -0.3999727 -0.5042408 -0.6432325 -0.4967019 -1.9525831 -0.4181187 -0.5649096 -0.1858064 -0.3111204 -0.5837698 -0.4898162 -0.7720728 -1.2422893 -0.0845019 -0.3832785
11370 -0.0079751 0.1817106 0.04958358 -0.0297374 -0.1934759 -0.1261076 0.07085901 0.06170908 0.23325466 0.02716582 -0.006942 0.01036987 -0.1369538 0.00834321 -0.0403022 -0.2117136 -0.0180843 -0.2208531 0.14108399 -0.2711434 0.14674424 -0.0360039 0.07033275 0.15463784 -0.2604031 -0.0232254 -0.2402068 -0.1070273 0.02672287 0.14947416
11409 0.45052634 0.43707032 0.42322451 0.390431 0.44332146 0.51263882 0.34726813 0.39013185 0.49502466 0.55204089 0.29726262 0.49861804 0.4362757 0.35413278 0.54432235 0.42782334 0.50865603 0.29402306 0.54055656 -0.3670104 0.41302294 0.40546301 0.28099187 0.29009812 0.32707268 0.36359148 0.41911327 0.39758544 0.32837603 0.56969726
11418 -2.2986159 -1.9432306 -2.5468709 -1.9381479 -2.4175336 -2.3455905 -2.2336241 -2.1263724 -2.1599144 -2.126516 -2.143951 -2.1714656 -2.2379548 -2.1167294 -1.9865308 -2.2070857 -1.9549734 -2.2428576 -1.9812794 -1.4644696 -2.1575248 -2.1849529 -2.3055748 -2.0827129 -2.1095248 -2.1140331 -2.154348 -2.1856589 -2.0887872 -2.3021808
