Gene	SFA2a	SFA2b	SFA2c	SFA2d	SFA2e	SFA3a	SFA3b	SFA3c	SFA3d	SFA3e	SFA4a	SFA4b	SFA4c	SFA4d	SFA4e	SMA2a	SMA2b	SMA2c	SMA2d	SMA2e	SMA3a	SMA3b	SMA3c	SMA3d	SMA3e	SMA4a	SMA4b	SMA4c	SMA4d	SMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 1.91929598 1.58709052 1.63740324 1.4651668 1.74298099 1.70597506 1.74280293 1.63502483 1.41620955 1.93530105 1.63460521 1.60436924 1.67407755 1.48274144 1.76298016 1.68277752 1.39279185 1.61536532 1.4969931 1.74462452 1.40594978 1.74204354 1.77592621 1.80750345 1.50673526 1.49974406 1.70382914 1.67941908 1.74486809 1.42987215
11303 0.16893234 0.34538748 0.34500031 0.39241719 0.28753445 0.3457206 0.32739495 0.37466659 0.41488779 0.20301044 0.1754953 0.51670143 0.19345933 0.43686385 -0.1330514 0.20997069 0.65038255 0.28303445 0.36820733 0.24105215 0.5195414 0.31730382 0.39139218 0.33506344 0.32371505 0.29006617 0.26859087 0.29228963 0.41020572 0.45325213
11350 0.55032236 0.25771572 0.64909804 0.70930748 0.77675895 0.80853581 0.33459701 0.5424164 0.96961802 0.27718024 0.21400579 0.73452821 0.68356325 1.01197769 0.1253692 0.38430715 0.59664249 0.5870157 0.56493517 0.58378146 0.99582308 0.46748731 0.51138717 0.53321906 0.61529545 0.82642852 0.85937491 0.47132175 0.6804137 1.06436942
11352 1.103747733 0.944941315 1.044964693 0.97998773 1.051491215 0.9088046 0.995395475 0.935383248 0.973154545 0.97798983 0.9290742 1.042260925 0.99678964 0.962789418 1.01002691 0.808837478 0.98886941 0.946751663 0.97071583 1.086114855 1.00541603 1.027943798 0.950670318 0.909336225 1.035062408 1.084824475 1.05838406 1.112319825 0.877836425 0.89986507
11363 -0.37532095 -0.317451733 -0.227405663 -0.228913343 -0.11880769 -0.282121207 -0.322126393 -0.49236116 -0.176238367 -0.482209583 -0.38406582 -0.092919067 -0.324201617 -0.367324297 -0.499221567 -0.346756147 0.06954977 -0.22345531 -0.344345423 -0.407108413 -0.02405784 -0.33785816 -0.171731803 -0.21511683 -0.187949223 -0.31988715 -0.38491929 -0.34510127 -0.229585207 -0.15510447
11364 -1.6788276 -1.8006192 -1.4006746 -1.1332014 -1.5495431 -1.4940993 -1.5733646 -1.6614038 -1.1175194 -1.6601739 -1.5819594 -1.1611989 -1.9313847 -0.9713316 -2.3850747 -2.475233 -1.2534396 -2.0287035 -1.3669363 -1.8918819 -1.1760624 -1.6600668 -2.9393429 -1.7259789 -1.4388078 -2.8687876 -1.414257 -1.7742035 -1.3746859 -1.0988373
11370 -0.3744772 -0.2513479 -0.293475 -0.3962571 -0.3086933 -0.1535838 -0.1692102 -0.0939421 -0.256785 -0.1506923 0.11142326 -0.1832951 -0.2937479 -0.2734142 -0.063802 -0.394032 -0.2686956 -0.2333933 -0.2719874 -0.190133 -0.2938892 -0.4059209 -0.2253452 -0.3141576 -0.09007 -0.2391919 -0.454833 -0.3177182 -0.2968329 -0.1753585
11409 0.14889623 -0.4687032 0.25159045 0.1443066 -0.1764915 -0.2866177 -0.3472989 -0.4581236 0.22617904 0.29911694 -0.5815577 -0.4273451 0.15119341 0.14697542 -0.4639214 -0.2354268 -0.2595242 0.47299885 -0.1088427 -0.2162689 0.12561192 -0.4200067 -0.4649771 -0.4375646 -0.0099065 -0.0775065 -0.2625539 -0.4419942 0.00794193 0.15212457
11418 -2.2359391 -1.9488668 -2.1154616 -2.1748874 -1.986746 -1.9176094 -1.9307775 -1.7992234 -1.6160904 -1.7334771 -1.7532529 -2.0657033 -2.1862011 -1.9884501 -1.4659448 -1.0267742 -1.8208203 -2.1513889 -1.9947774 -1.9967888 -1.929191 -1.8227668 -1.6820443 -2.1410715 -2.02754 -2.2756662 -2.1405575 -1.6893994 -1.9217407 -2.1252024
11428 -0.7969439 -1.0659017 -0.7162071 -0.7909715 -0.8573355 -0.9430846 -1.1235785 -0.9732074 -0.5906772 -0.4235442 -1.149876 -0.8565714 -0.7692753 -0.7685396 -0.9155945 -1.0453974 -0.9449963 -0.6712248 -0.9023859 -0.9817784 -0.7850578 -0.8808372 -1.0116687 -1.1167781 -0.7787541 -0.9071981 -0.8297727 -0.7668265 -0.8886138 -0.7334954
11429 -0.080283 -0.1464333 0.03797183 0.19364173 0.06747043 -0.0471704 -0.1253697 -0.098434 0.24207612 0.06109458 -0.3360699 0.05747269 0.11469045 0.15327132 -0.3262629 -0.9467241 -0.0400611 0.14278609 -0.1014383 -0.1596704 0.17565769 0.06444857 -0.0730807 -0.2161834 0.10852729 0.23404775 0.10352131 -0.1743748 0.03086703 0.29303403
11431 1.47804144 1.48790317 1.57643749 1.52514929 1.76776442 1.50507129 1.61562825 1.40254708 1.48202252 1.58522423 1.68012189 1.87771121 1.38510041 1.57647041 1.56204339 1.76171142 1.66791062 1.46854824 1.57433559 1.55056775 1.77825984 1.44292298 1.5593756 1.60329899 1.70172353 1.60456979 1.4163535 1.54607177 1.63683067 1.58831785
11432 -0.58996 -0.4266738 -0.5766007 -0.8313481 -0.6666701 -0.6617597 -0.5283032 -0.5583376 -0.8334801 -0.4161996 -0.4742354 -0.633105 -0.8631028 -0.8656556 -0.5833287 -0.7666035 -1.0715913 -0.713364 -0.3239374 -0.6294451 -0.8380643 -0.3263001 -0.6627496 -0.4654881 -0.8291919 -0.739504 -0.5023345 -0.6452834 -0.6312094 -0.8416944
11433 0.17002209 0.12436411 0.00147318 0.13523396 0.22397103 0.31825568 0.09758709 0.19904524 0.16877066 -0.1556471 0.06546914 0.17195067 0.20027746 0.31389428 0.05351911 -0.0086062 0.23181945 0.17300705 0.15273664 0.10450503 0.21107294 0.15774958 0.10574355 0.21054347 0.14318583 0.23454088 0.33994045 0.23051903 0.31784454 0.37798312
11472 0.13516218 0.08572281 0.08978983 0.1192137 0.03892247 0.15930068 0.19402288 0.22272083 0.03857527 0.14842727 0.05462833 0.07103757 0.03701764 0.19908535 0.10132765 0.22727344 -0.1822049 0.09792775 0.17300031 0.15364756 0.12712766 0.17249312 0.09352133 0.04251649 0.0459399 0.18061431 0.12003643 0.09352322 0.14586308 0.0999472
11474 -0.5283283 -0.6485219 -0.5723145 -0.5652487 -0.267863 -0.4365199 -0.4138258 -0.3249014 -0.4358575 -0.7012849 -0.207489 -0.3756672 -0.4301988 -0.3402011 -0.33007 -0.3277806 -0.3442598 -0.3287522 -0.4455492 -0.389555 -0.4382689 -0.5812992 -0.3099313 -0.5428024 -0.3486107 -0.1976889 -0.5976486 -0.4224854 -0.3984167 -0.2949503
11475 0.92383542 0.41545655 0.708491 0.75944692 0.97393081 0.99965344 0.6502746 0.86664986 0.77232855 0.46873604 0.65511482 0.96259111 0.81627216 1.04733637 0.58790259 0.27890206 0.64949579 0.73940885 0.67252959 0.84232292 0.93806717 0.41095502 0.6655944 0.84596872 0.73679631 0.9375315 0.90803651 0.79404591 0.87688729 1.19492466
11479 -0.3497313 -0.6360413 -0.5693823 -0.4472376 -0.3142014 -0.2769196 -0.5776706 -0.2783916 -0.3403562 -0.7097495 -0.6552321 -0.5077541 -0.4505837 -0.2063918 -0.7811286 -0.6421152 -0.4857322 -0.6280436 -0.5928116 -0.5986885 -0.265862 -0.6684383 -0.4705754 -0.4367631 -0.544883 -0.2665703 -0.3643298 -0.5387441 -0.4129759 -0.1351166
11481 -1.5804191 -1.5402992 -1.3997914 -1.4593682 -1.8914947 -1.3560991 -1.5254258 -1.6112051 -1.2932503 0.31946797 -1.5804584 -1.4231539 -1.4018153 -1.3547425 -1.7427178 -0.6667518 -1.4909455 -1.225103 -1.4111148 -1.5216185 -1.3663692 -1.366969 -1.7411488 -1.525546 -1.2843566 -1.4704551 -1.5194918 -1.6251471 -1.4149644 -1.269632
11487 1.7502624 1.50621238 1.62834542 1.74780171 1.80989863 1.81930178 1.75724565 1.47391925 1.82695372 1.4707411 1.57771597 2.00102153 1.78622251 1.71233382 1.67523232 1.33775726 1.64368334 1.571979 1.7330845 1.66621479 1.70402152 1.60512846 1.55255958 1.32064667 1.82837989 1.79825301 1.79926139 1.69998977 1.72417514 1.86404482
11490 0.95044101 1.22543403 0.96920346 0.89333978 0.96895931 1.1744372 1.05816918 1.33093474 0.77563881 0.99462284 1.33439476 0.80526083 1.06743823 1.01834136 1.24503422 1.06155834 0.95964185 1.02675228 0.95025166 0.96062144 0.96006526 1.19768838 1.09479801 1.24026946 0.920812 1.04043971 1.14686925 1.41256784 1.19425022 0.97086891
11491 -0.737240658 -0.630350208 -0.824326795 -0.967470938 -0.736254495 -0.760809033 -0.68747701 -0.708810868 -0.65179247 -0.72254605 -0.532526583 -1.383237135 -0.790540288 -0.92395081 -0.926949628 0.0955796 -0.452264933 -0.58343272 -0.951903053 -0.700913165 -0.76344391 -0.79039952 -0.70521985 -0.696065108 -0.672134438 -0.968674788 -0.784293123 -0.851864803 -0.931504193 -0.67391317
11492 -0.521848 -0.7575547 -0.6011985 -0.5455329 -0.7625813 -0.5403729 -0.771395 -0.7883163 -0.5165555 -1.2401176 -0.8777204 -0.8672937 -0.3436595 -0.4801209 -0.8134735 -2.3096814 -0.6055504 -0.6014127 -0.5542735 -0.6176249 -0.523615 -0.5940422 -0.9555332 -0.8065459 -0.5978148 -0.5886967 -0.534248 -0.882585 -0.5773718 -0.2798404
11496 0.02644403 0.09381044 0.046050795 0.147374245 -0.150701865 0.035376635 0.16916526 0.08459365 0.053817705 -0.29651048 -0.069543485 -0.026243 -0.005203065 0.059359655 -0.08563071 0.42683746 -0.104418175 0.05190091 0.176156085 0.01899181 -0.0475273 0.329906825 -0.052199025 0.004632525 -0.023613625 -0.07302241 0.12542781 0.027046915 0.06470663 -0.154972595
11501 -0.9156188 -1.373413 -0.9021849 -0.93704 -1.0087956 -1.3643913 -1.3291168 -1.3533311 -0.7793048 -0.7664959 -1.6804428 -1.2948926 -0.8982507 -0.9892477 -1.344182 -1.2020157 -1.1619261 -0.8428774 -1.1729692 -1.0461446 -0.9433212 -0.9891858 -1.2416484 -1.3361283 -1.0805611 -0.9758126 -1.0451035 -1.3550712 -1.12302 -0.8895529
11502 -0.8447249 -1.0837932 -1.2008501 -1.2590679 -1.0133616 -1.0929697 -1.1610829 -1.3418377 -1.2447606 -1.18852 -1.3405313 -1.1071114 -0.7991201 -1.040847 -1.251782 -1.280361 -1.3361357 -1.0021268 -1.4355408 -1.0908101 -1.2131484 -1.0037365 -1.1306591 -1.1093453 -1.1522659 -1.1855421 -1.0134779 -1.1777116 -1.0738742 -1.2344958
11504 -0.143809 -0.0436259 -0.2938488 -0.4366474 -0.4937956 -0.1226589 -0.0243607 0.04630147 -0.2840884 0.24022531 0.23736456 -0.0309436 -0.3329107 -0.3653147 0.40648291 0.28936888 -0.3322204 -0.2714086 -0.0628373 -0.2220748 -0.3950291 -0.2906085 -0.0713557 -0.0980583 -0.1547809 -0.4601404 -0.3293312 0.03354115 -0.2122693 -0.5241177
11513 0.13408813 0.17800012 -0.059665 -0.0023136 0.09272675 0.02165121 0.23632564 0.22005298 -0.2769668 0.78034447 0.03119832 0.1151212 -0.1199274 -0.1100711 0.24429983 0.44112604 -0.2226584 -0.0504702 -0.0719722 0.08872733 -0.1694398 0.35416756 0.24574669 0.17486514 -0.1505027 -0.0765512 0.0120598 -0.047854 0.303668 -0.0969351
11517 1.24256105 1.43988639 1.272387 1.21455071 1.14778562 1.11928323 1.56620849 1.29971623 0.86366425 1.10189005 1.28285671 1.07530244 1.13140149 1.19132276 1.36644449 1.15633366 0.92160272 1.21285735 1.29911188 1.42637868 1.01027206 1.39523176 1.16721418 1.30985892 1.07078215 1.11394756 1.32058071 1.4728657 1.33181418 0.8776141
11518 0.19233567 0.2952137 0.37324359 0.39866223 0.30872368 0.24586681 0.40081174 0.22311196 0.32173076 0.34417664 0.11671298 0.28328013 0.14770664 0.43463093 0.19913772 0.42614213 0.11454688 0.36763424 0.31543921 0.3278594 0.31696818 0.3363311 0.18594198 0.2341777 0.25056297 0.42791101 0.24469389 0.38856509 0.34671771 0.32964415
11520 -0.5177052 -0.5827757 -0.6137124 -0.6982987 -0.5359806 -0.7016009 -0.5044161 -0.599807 -0.5913838 -0.8345957 -0.8882334 -0.6341348 -0.5548907 -0.5724909 -0.5533935 -0.6259658 -0.7390973 -0.5231628 -0.8527318 -0.5810007 -0.6975535 -0.5657516 -0.5607559 -0.523292 -0.668134 -0.6021232 -0.4885277 -0.6133835 -0.4415931 -0.6467803
11532 -0.5642806 -0.6897047 -0.6446094 -0.6309192 -0.5628599 -0.5964121 -0.7995303 -0.7426964 -0.5635151 -0.9006213 -0.9355882 -0.6075841 -0.5253283 -0.5922377 -1.0024449 -0.7352424 -0.6698337 -0.7058579 -0.8127584 -0.7536484 -0.5653301 -0.6787299 -0.6952118 -0.6800393 -0.7527422 -0.4673514 -0.5379036 -0.7539316 -0.6473073 -0.684552
11534 -0.28330255 -0.200486585 -0.18154086 -0.12681061 -0.16388679 -0.21711686 -0.20505305 -0.228881985 -0.10873595 -0.533311645 -0.322880785 -0.15905123 -0.3514035 -0.1188147 -0.297661735 -0.209948585 -0.34092545 -0.36281865 -0.30725232 -0.304680865 -0.10472285 -0.248669195 -0.255006595 -0.17495701 -0.2101514 -0.21841715 -0.2414592 -0.16209759 -0.15290118 -0.1570802
11535 0.344962273 0.30835735 0.269832987 0.17664243 0.128420873 0.288047067 0.201813923 0.341926763 0.17380177 0.27767944 0.502444337 0.123970653 0.242967933 0.173311723 0.391763203 0.52811736 0.373860307 0.262217273 0.456837257 0.348118163 0.120507063 0.400698917 0.21736674 0.295545487 0.157475963 0.283211493 0.26112954 0.32467893 0.174842483 0.018276153
11539 -0.3874477 -0.9753419 -0.5568605 -0.1650854 -0.4293274 -0.4196267 -0.817781 -0.6964923 -0.0318445 -0.6785479 -0.8055729 -0.5672741 -0.3074372 -0.1505835 -0.861295 -0.7849366 -0.4145625 -0.3142926 -0.4371913 -0.4678523 -0.2251855 -0.6447287 -0.8106659 -0.7460718 -0.3460074 -0.2926193 -0.4677486 -0.6766129 -0.5851092 -0.0991319
11545 0.44089707 0.33260723 0.33775057 0.2780358 0.472445 0.54067906 0.31353756 0.51886055 0.2873293 0.38975669 0.2996308 0.27671092 0.21206826 0.51977102 0.43998711 0.18993048 0.30185722 0.30114952 0.34956042 0.22596549 0.44610541 0.32621971 0.48894198 0.41222434 0.31221272 0.50157532 0.42383586 0.31295987 0.34521427 0.40194272
11546 -0.0324671 0.16316317 -0.1684999 -0.247755 0.0885341 0.02426791 0.11041331 0.11594012 -0.3737447 -0.2501055 0.1639568 -0.2623342 0.26444079 -0.1955638 0.04257114 -0.0861657 -0.1355326 -0.0933275 -0.3217421 -0.1156777 -0.3625853 -0.1467992 0.24928961 0.27922912 -0.284484 -0.1088139 0.05488604 0.25583804 0.12233719 -0.3539601
11555 0.04803637 0.4026634 0.02821559 0.15398612 0.13267096 0.20160912 0.13362946 0.4111977 0.12694745 0.12849384 0.39699485 -0.0627592 0.28708154 0.08635318 0.23806636 0.33536028 0.09986018 0.35429657 0.04068112 0.0299286 0.22858101 0.15336364 0.4126705 0.42099063 0.20099068 0.11332363 0.10593834 0.36967964 0.25855514 0.16704499
11566 -0.4819047 -0.608521 -0.3091073 -0.2498778 -0.3324221 -0.453106 -0.836177 -0.7457235 -0.3104856 -0.8974686 -0.9700387 -0.4718799 -0.3411126 -0.3686427 -1.1987005 -0.5979643 -0.4485373 -0.3469832 -0.4749281 -0.5723588 -0.41011 -0.509917 -0.9861041 -0.730623 -0.6981284 -0.4733771 -0.3486228 -0.8477688 -0.8250392 -0.3028069
11568 -0.8355794 -1.0166685 -0.9797581 -1.1980522 -0.8451212 -0.8433222 -1.0342028 -0.9677502 -1.1623661 -1.1259312 -0.7674493 -1.0345236 -1.0972961 -1.0153605 -0.8232572 -1.198175 -0.9255767 -0.9539709 -0.9421281 -0.9375424 -0.9777307 -0.9847231 -0.8722062 -0.6965719 -0.9255833 -0.7636229 -0.8958552 -1.0200531 -1.2405668 -1.1773466
11569 -0.3286218 -0.222005133 -0.315053867 -0.296923267 -0.059958627 -0.22913041 -0.12577926 -0.181219213 -0.34332462 -0.3739875 -0.140043553 -0.06295598 -0.476981133 -0.29019827 0.07271164 -0.3908378 -0.272981227 -0.32301783 -0.2147814 -0.19414799 -0.163385437 -0.2717837 -0.209512577 -0.235782897 -0.14151183 -0.362894553 -0.376814633 -0.107132587 -0.230254023 -0.44835326
11593 -0.6077355 -0.5864164 -0.365248 -0.4213564 -0.2650738 -0.3984923 -0.4222363 -0.5058409 -0.415903 -0.4763262 -0.2910192 -0.165131 -0.4662879 -0.3018148 -0.4173406 -0.5062216 -0.1229202 -0.2615127 -0.5367731 -0.4150333 -0.3460479 -0.4150009 -0.3923071 -0.411522 -0.2452749 -0.2940453 -0.5882021 -0.4381845 -0.3833503 -0.2921039
11602 0.59248886 0.36199635 0.48417484 0.35494283 0.74856404 0.81249014 0.43525995 0.43992291 0.57752383 0.08174246 0.20248996 0.70020496 0.79226425 0.51991326 0.09863075 -0.161063 0.69968669 0.6258016 0.26909245 0.57804129 0.66015096 0.34169424 0.70773646 0.440669 0.66262754 0.59220043 0.89933782 0.84223335 0.72016229 0.94196498
11603 0.63494582 0.7231623 0.6830368 0.69204213 0.70671971 0.76321064 0.58654741 0.79916992 0.72133135 0.34483134 0.55192667 0.86024242 0.63731592 0.72236106 0.23188103 0.6847454 1.07948142 0.58729848 0.71011838 0.52513566 0.82285958 0.6596377 0.77738951 0.7057213 0.63530114 0.61092438 0.60197825 0.76101361 0.70025717 0.75877338
11605 -1.166755 -0.8967016 -1.5270364 -1.3606147 -1.238176 -1.5309379 -1.089989 -1.0345215 -1.6353207 -1.3202891 -1.0887993 -1.6926294 -1.2295245 -1.5158891 -1.0494336 -1.0802951 -1.2855997 -1.4275899 -1.3195442 -1.2330389 -1.3460703 -0.8556073 -1.0027623 -0.8975112 -1.3878596 -1.2335465 -1.3463172 -1.0309553 -1.0712557 -1.3461068
11606 0.32653797 -0.0161761 0.08788374 0.35153302 0.32136832 0.41710851 0.22578547 0.35266344 0.5017698 0.22951176 0.10181834 0.41962892 0.24549029 0.63487699 -0.0683207 0.03021886 0.2453551 0.16755286 0.15684286 0.30071741 0.28899524 0.14276673 0.11714819 0.27950227 0.32452721 0.41792138 0.29471825 0.13449566 0.34864423 0.54152718
11609 1.08745613 1.18883248 1.18325951 1.26848309 1.21037984 1.10611698 0.88737434 1.21829548 1.27967465 1.03582751 0.94517096 1.02211612 0.97491485 1.2232482 0.94835243 1.21641341 1.52434724 1.18752611 1.28560676 1.10961058 1.30771657 0.94980032 1.25863586 1.15025843 1.33286792 1.01012028 1.04437653 1.16722815 1.04532501 1.34690599
11610 1.465463645 1.504028185 1.701652035 1.706996145 1.588951905 1.61394138 1.67291699 1.517066755 1.70360257 1.534221575 1.550284415 1.50002316 1.60360588 1.665924505 1.519193635 1.26967625 1.55336135 1.646650765 1.686112985 1.607030555 1.64957599 1.681539195 1.44244041 1.48331179 1.58150351 1.635139005 1.681742225 1.695880535 1.63450772 1.69306233
11630 -0.443609425 -0.224009455 -0.16814491 -0.377461175 -0.5437356 -0.36173654 -0.268230905 -0.218460835 -0.377987105 0.469744935 -0.02728211 -0.44244712 -0.41538978 -0.389611575 -0.268807675 -0.55255571 -0.454365435 -0.35710221 -0.223518305 -0.31443079 -0.42073529 -0.15448731 -0.173835555 -0.233525325 -0.345509655 -0.311537505 -0.40836659 -0.326811965 -0.411616085 -0.53960285
11632 0.40495107 0.39902982 0.39213248 0.25686475 0.4756707 0.35949907 0.20301748 0.26605882 0.42630199 0.07273116 0.07800916 0.34867515 0.36232179 0.30684052 -0.0644953 0.1370201 0.71577546 0.49189925 0.12297474 0.32361275 0.43883055 0.36008309 0.51900743 0.58322205 0.38478928 0.10007932 0.27216344 0.28797865 0.40082501 0.52411392
11637 -0.332448245 -0.298971965 -0.5267151 -0.30904875 -0.02071946 -0.448906285 -0.346152965 -0.50254107 -0.265583415 -0.74156185 -0.67239945 -0.266647155 -0.136535215 -0.47416695 -0.440608135 -0.33700126 -0.4344308 -0.27786615 -0.68032585 -0.301548195 -0.277752855 -0.4109359 -0.229113905 -0.28474689 -0.288699825 -0.30968686 -0.22098826 -0.247379875 -0.143743255 -0.22927467
11639 0.44418162 0.393317827 0.451974547 0.48139015 0.373752473 0.43334698 0.46274136 0.5409163 0.464186283 0.585100593 0.500685147 0.50273707 0.426207527 0.446259163 0.424507173 0.266753127 0.45051594 0.524355793 0.46857572 0.529873937 0.39502176 0.38994572 0.426313813 0.490397257 0.371773183 0.488633213 0.448960103 0.496908767 0.474781697 0.399387773
11640 -0.7777753 -0.5395761 -0.5417353 -0.6950038 -0.5708707 -0.280692 -0.2939786 -0.4784485 -0.6633873 -0.5913815 -0.4823102 -0.1387786 -0.5535957 -0.6632473 -0.3027002 -0.5470521 -0.6510923 -0.6905572 -0.7408789 -0.5512489 -0.7247979 -0.6321223 -0.3845537 -0.6218267 -0.4523814 -0.6453635 -0.4771623 -0.2682244 -0.3653352 -0.4661246
11647 -0.252491 -0.0567289 -0.1736489 -0.1409382 -0.0104012 -0.2133688 -0.143686 -0.0414231 -0.1833305 -0.4879694 -0.1977886 -0.2565556 -0.0714642 -0.0024482 -0.2683443 -0.2471878 -0.2873491 -0.1054208 -0.1912861 -0.2997633 -0.0430885 -0.1552608 -0.0568294 -0.013497 -0.2669751 -0.1888307 -0.1894949 -0.0988636 -0.0617718 0.0257667
11650 0.28059187 -0.0307907 0.26921402 0.24210776 0.13460356 -0.1089247 -0.0855754 -0.2813862 0.16674266 -0.1124036 -0.029002 0.3059403 0.00426513 0.03768765 -0.4941655 -0.2311688 0.44966644 0.22599885 0.0559871 -0.2796809 0.48982542 -0.2965541 -0.0802722 0.00757906 0.25518106 -0.0829901 -0.2002514 -0.0659114 0.03590446 0.06619899
11651 1.30327816 1.31952214 1.26713652 1.28083966 1.40720269 1.23600512 1.17812674 1.11527878 1.2153783 0.98346743 0.96435976 1.06878065 1.3248794 1.32487756 1.0461646 1.29772315 1.19615788 1.21940727 1.25564063 1.18133537 1.42843068 1.18938031 1.10211517 1.25948028 1.19805814 1.2873324 1.17033596 1.16188408 1.24900023 1.29946314
11655 0.83582407 0.47700901 0.48044717 0.27895594 0.61363283 0.66424298 0.64638041 0.66729027 0.34623612 0.55681741 0.8668322 0.53335066 0.45263083 0.51219518 0.65640629 0.19799688 0.65278493 0.38672619 0.49375234 0.5116798 0.56303246 0.45511752 0.61162418 0.6953808 0.46038083 0.61948319 0.59910193 0.49296444 0.48453227 0.50337626
11656 -0.6703177 -0.2498392 -0.2653735 -0.4340851 -0.5334821 -0.8057879 -0.7835122 -0.5531984 -0.4532304 -1.3137315 -0.9330039 -0.479599 -0.7235638 -0.6795741 -1.2998919 -0.1134711 0.19774701 -0.2224892 -0.6593223 -0.6982568 -0.3100829 -0.6312793 -0.2139775 -0.1496855 -0.4799837 -0.8768838 -0.6563895 -0.3959463 -0.4435218 -0.5276481
11657 0.02371893 -0.0481788 0.0630535 -0.2701945 0.34553611 0.10131226 0.0589747 -0.0655039 -0.3071707 -0.6744232 -0.347788 -0.0053902 0.14837073 -0.1845855 -0.3076612 -0.0503235 -0.0122354 -0.0197955 -0.2824778 -0.0022771 -0.0678799 -0.1569654 0.32726744 0.03573078 -0.0452225 -0.2015557 0.12686104 0.19887358 0.31029491 0.28750175
11658 0.501355253 0.343347855 0.370650608 0.297775948 0.453382853 0.385750688 0.317672285 0.349873535 0.18160157 0.25738238 0.116554145 0.273409735 0.35141289 0.301745508 0.3047725 0.21996086 0.30965898 0.37461327 0.27766122 0.379770048 0.331803328 0.45160574 0.413310905 0.362248465 0.352255358 0.20693074 0.354235658 0.431403558 0.398111393 0.28839499
11668 -0.00518783 0.152494545 0.100412985 0.07833217 -0.058032655 0.09996678 0.188622995 0.16103228 0.04420769 0.51385909 0.13505354 0.083783605 -0.040065855 0.13944798 0.151422925 0.3243537 0.04723684 0.03503044 0.215982365 0.07076977 0.053913915 0.3234076 -0.0625283 0.11712878 0.03663612 0.0401279 0.06920767 0.02909875 0.00414189 0.033830305
