Gene	TFA2a	TFA2b	TFA2c	TFA2d	TFA2e	TFA3a	TFA3b	TFA3c	TFA3d	TFA3e	TFA4a	TFA4b	TFA4c	TFA4d	TFA4e	TMA2a	TMA2b	TMA2c	TMA2d	TMA2e	TMA3a	TMA3b	TMA3c	TMA3d	TMA3e	TMA4a	TMA4b	TMA4c	TMA4d	TMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11287 2.04375044 1.5304774 1.64589762 1.93717312 1.86494943 1.77356703 1.66407969 1.77546272 1.65009939 1.89694507 1.68510697 1.70970135 2.1080476 1.81628126 1.83107743 1.81692298 1.72047893 1.78265115 1.73582866 1.90042962 2.12086707 1.58944465 1.72035201 1.98476981 1.98181357 1.79525016 1.76660313 2.06137926 1.92813535 2.05068309
11303 0.05724391 0.22983414 0.42290267 0.18781593 0.28312543 0.25659907 0.02177115 0.18154484 0.67190016 0.28593114 0.41916667 0.23760937 -0.4754843 0.02853443 0.08296172 0.19926616 0.1891484 0.38411384 0.44934766 0.0146697 -0.4043203 0.35601301 0.26442673 -0.1724369 -0.0136541 0.32430547 0.1413839 -0.1016067 0.30727121 -0.2749545
11350 0.33836884 0.81647685 0.85503447 0.8771325 0.71724261 0.71355283 0.521168 0.44345217 1.20064675 0.71587553 0.80625928 0.68971924 0.11991576 0.63937093 0.47306632 0.69798161 0.22537629 0.87597825 0.9667117 0.24986056 0.16925273 0.72903697 0.49642813 0.01869157 -0.301179 0.49326143 0.53967626 -0.1625023 0.37677665 0.16765979
11352 0.934480133 0.790669803 0.80993335 0.715306093 0.966583715 0.775701235 0.802436103 0.945140458 0.831359275 0.920358998 0.61988805 0.798820153 1.119168325 0.877150403 0.98593879 0.76695233 1.072675525 0.646158303 0.737875938 0.8624017 1.084432325 0.863775783 0.875738505 1.079459698 1.098037078 1.057183905 0.990607333 1.077054765 1.02450966 1.020716608
11363 -1.071969467 -0.8661367 -0.632162033 -0.821038567 -0.861737967 -0.7758146 -0.846110733 -0.884815967 -0.221238067 -0.849272067 -0.5497164 -0.928486567 -0.904815833 -0.9058585 -1.080314533 -1.300318833 -0.738822233 -0.973524733 -0.892455967 -0.801309133 -0.927177333 -0.7653139 -0.7366712 -0.837046167 -0.798086467 -0.750193867 -0.798616167 -0.512753133 -0.729145467 -0.911486667
11364 -1.6999969 -1.4271478 -0.9687649 -1.1898944 -1.3365345 -1.5514045 -1.8739144 -1.2861257 -0.158595 -1.2663413 -1.0292015 -1.5595409 -1.9102797 -1.5030495 -1.6884433 -2.5367409 -0.9643501 -1.3917291 -1.1901314 -1.7832336 -1.5764442 -1.3888154 -1.0848045 -1.6080988 -1.1995597 -0.9643374 -1.1044397 -2.1132526 -1.174945 -2.0937045
11370 -0.0946011 0.14847611 0.21887558 0.14665709 -0.0169009 -0.0240668 0.0291668 0.07910961 0.28832303 0.03938514 0.24457113 -0.1840098 -0.0993511 0.01956513 -0.0651728 0.08404523 0.33795226 0.21047517 -0.0499183 -0.0283839 -0.0036092 0.21847577 0.13993574 -0.0041654 -0.0925617 0.13856927 0.16417947 -0.181365 0.00596432 -0.2283861
11409 -0.3401219 0.17106382 0.04788809 -0.0693365 -0.1203317 0.10454357 0.00969328 -0.1350941 -0.0316907 -0.2503296 0.27029139 -0.136988 -0.5181286 -0.3549715 -0.42043 -0.0909895 0.0941465 0.13917833 -0.1444419 -0.2734351 -0.3999536 0.16563131 0.06785102 -0.4063011 -0.5568851 -0.2472359 -0.1926061 -0.6911778 -0.3143981 -0.4929817
11418 -0.3453575 -1.9494494 -1.671687 -1.8962552 -1.8726192 -1.8995559 -1.7927985 -1.7714428 -1.8583818 -1.7062372 -1.9639126 -2.3020833 -1.6018901 -1.8096563 -1.725217 -1.9839982 -1.689485 -2.0726104 -2.0368006 -1.7997412 -1.1193352 -1.9764748 -1.9222553 -1.7332809 -1.5025592 -1.5773081 -1.9534181 -1.7461561 -1.8145682 -1.7401764
11428 -1.0090836 -0.8488422 -0.9110715 -0.9196745 -1.0113436 -1.1512518 -0.9494983 -0.9727514 -0.7142991 -1.1311892 -0.9174081 -1.0767653 -1.0642034 -0.8915048 -0.8596309 -0.926263 -0.9226872 -0.9705593 -1.0355408 -0.8232964 -0.7541724 -1.0374176 -0.9286348 -0.5939606 -1.2086027 -1.0020524 -0.7601512 -0.8562951 -0.749358 -0.9504444
11429 -0.2178305 0.04206482 0.43428786 0.05064729 0.10271965 0.20545567 0.02250892 0.02863104 0.66247591 0.0228837 0.18839614 0.13248191 -0.1423444 -0.0283864 -0.2053847 -0.0444195 0.50982781 0.00549128 0.05613729 -0.2135837 -0.1918972 0.17716988 0.35542794 -0.0075036 -0.0041745 0.27173748 0.18956328 -0.196137 -0.07557 -0.0807439
11431 1.90619318 1.69864458 1.67284929 1.81232577 1.84645019 1.44516756 1.71644344 1.87799095 1.504087 1.92184513 1.56057251 1.62552039 1.73522885 1.79113819 1.68139354 0.88498802 1.20801188 1.66959656 1.74319264 1.83604474 1.56358261 1.52480339 1.62884976 1.58435838 2.01352715 1.59821941 1.3642971 1.54451082 1.45919331 1.62399155
11432 -0.0454825 -0.5200351 -0.4378285 -0.4571981 -0.3382787 -0.4850092 -0.152869 -0.2458042 -0.3320665 -0.3210219 -0.738918 0.12748168 0.06621912 -0.2172005 0.11168017 -0.3038998 -0.0945078 -0.4832081 -0.2058232 -0.0057485 -0.0009416 -0.352532 -0.3833173 0.25045752 -0.197725 -0.0057841 -0.2424403 0.07744088 0.09661761 0.10061686
11433 0.00747256 0.1282488 0.03701219 0.08552059 0.14029194 -0.0007996 0.00760239 0.05657088 0.35908897 0.09390018 0.20446779 0.05842665 0.05571412 0.19930777 -0.1951583 0.19331341 -0.0858591 0.15798378 0.23092905 0.13940159 -0.0534434 0.13398115 0.14150004 -0.1967066 -0.1813077 0.09157642 -0.0542201 -0.0266806 0.0222623 0.03894922
11472 0.5102594 0.31975701 0.27714296 0.27534274 0.26835646 0.23327164 0.2942967 0.2820916 0.12266774 0.41183016 0.34253109 0.39560441 0.4025186 0.28061363 0.36541813 0.21165757 0.2303297 0.28488421 0.31637788 0.45357437 0.39737728 0.19651402 0.31158112 0.15369152 -0.1233224 0.03863642 0.32701183 0.1821452 0.5216257 0.40536756
11474 -0.2136551 0.2688024 0.22807429 -0.0444265 -0.0141506 0.18754815 0.03589788 0.30701733 0.08503017 -0.0610039 0.1960569 -0.0722837 -0.3281572 0.00356681 -0.1514232 -0.517478 0.17382217 0.10892512 -0.0056006 -0.1591334 -0.1503625 0.33764385 0.22870969 -0.0880773 0.43560488 -0.1346802 -0.1291282 -0.166116 -0.379502 -0.262695
11475 0.4592569 1.01546898 1.12822648 0.80309078 0.76547577 1.14227544 0.9611136 0.72401122 1.11946259 0.65035493 1.30471696 0.69414068 -0.2015662 0.63288825 0.75452851 1.19778474 0.68276294 1.1265322 0.88505772 0.25392645 -0.2711285 1.15586655 0.94970579 0.1993426 -0.5374265 0.45657768 0.71154379 0.1866017 0.13220991 -0.0719651
11479 -0.6356362 -0.2818617 -0.1767217 -0.1504371 -0.3842749 -0.2385785 -0.3176444 -0.471726 0.06879101 -0.2307643 -0.0998639 -0.2189329 -0.9754618 -0.3546365 -0.4841438 -0.2069418 -0.7314546 -0.0799813 -0.056032 -0.8025819 -0.8775329 -0.2810312 -0.4957169 -0.7173146 -0.4518906 -0.2855187 -0.6045757 -0.7329386 -0.398595 -0.9238496
11481 -1.5545369 -1.2953954 -1.3324014 -1.4826752 -1.3317238 -1.5130756 -1.6272683 -1.553214 -1.6133252 -1.3502601 -1.3532256 -1.4503165 -1.5048296 -1.5775218 -1.4375351 -1.2743104 -1.4514577 -1.4747118 -1.5036473 -1.4679767 -1.0546897 -1.4758669 -1.6912127 -1.4686275 -0.9795527 -1.5335214 -1.4718946 -1.9031503 -1.4345683 -1.8196013
11487 1.73526005 2.2296695 1.82152947 1.68279718 2.16055678 2.25237723 2.13170274 2.08502597 1.55280298 1.84625621 2.11617119 1.7854503 1.83948867 1.75416225 2.08249359 2.09889998 2.08220918 1.5359373 1.52299475 1.91013903 1.7696692 1.64325968 2.14869175 2.21679257 2.47720332 2.04219179 2.1046625 2.00602899 1.94331186 1.80311644
11490 1.28176594 1.17570442 1.11037811 1.35053616 1.26267192 1.15542628 1.13770907 1.27970534 0.96769617 1.35090341 1.20609114 1.47451585 1.336199 1.3143467 1.07088769 1.16600001 1.01605137 1.29284589 1.34356163 1.33766767 1.15702692 1.0914368 1.19185683 1.1428555 0.67566395 1.01140886 1.02670888 1.24464191 1.31604873 1.35190307
11491 -0.45141118 -0.599116448 -0.729593753 -0.514861405 -0.514446915 -0.625895228 -0.321613648 -0.441028708 -0.824170063 -0.387911288 -0.866853028 -0.663587628 -0.055350683 -0.516737713 -0.683519838 -0.580569563 -0.412418285 -0.58548197 -0.542469813 -0.377260518 -0.419370613 -0.636105855 -0.697413838 -0.63040139 -0.253889958 -0.713051525 -0.398250418 -0.450165425 -0.629314943 -0.563993653
