Gene	GSM98881	GSM98882	GSM98883	GSM98879	GSM98878	GSM98880	GSM98877	GSM98876
Gene	2.0	2.0	2.0	22.0	22.0	22.0	22.0	22.0
11287	12.9	8.6	15.8	6.5	4	12.6	12.5	11.5
11298	12.2	3.3	1.3	10.9	4.8	9.3	6.4	7.3
11302	36.5	42.9	46.1	36.5	40.2	40.8	29.5	22.7
11303	42.5666666666667	69.9666666666667	73.8	44.5333333333333	38.2	43.6666666666667	41.3333333333333	27
11304	99	224.7	201.5	147.1	97.2	77.7	112.7	41.7
11305	14	45.2	57.5	32.1	21.1	24	48.6	33.5
11306	81.85	74.55	78.05	91.15	81.2	91.9	54	72.5
11307	18.3	16.05	15.05	19.8	18.45	22.05	15.85	20.85
11308	29.95	24.7575	19.3	33.65	30.925	23.6075	17.85	18.325
11350	19.8333333333333	11.4666666666667	11.5333333333333	21.1	30.0666666666667	24.1	14.8666666666667	11.3333333333333
11352	33.8333333333333	28.5333333333333	27.8766666666667	32	45.6	26.1	42.5333333333333	37.8666666666667
11354	19.6	13.7	14.4	21.9	15.1	15	23.5	22.5
11363	170.45	139.45	147.65	149.8	125.65	152.55	141.75	186.5
11364	69.7	130.3	137	100.2	58.8	54.6	146.7	93.2
11370	51.8	111	95.5	80.1	66.7	83	85.4	73.9
11409	15.2	20.3	30.9	35.1	22	37.6	28.8	26.1
11416	55.5	92.3	81.4	102.7	153.3	116	77.8	51.9
11418	1601.2	1624.6	1444.8	1629.8	1737.4	1230.2	1221.8	828.6
11419	15.6	14.3	19.6	18.8	16.5	20.4	20.3	14.6
11421	61.1	34.6	34.8	23.5	38.3	36.65	30.5	22.65
11423	52.9	65.7	58.8	57.2	69.4	42.4	56.8	31.5
11425	11	6.81	0.9	8.7	12.6	5.1	7.2	2.2
11426	3.8	11.9	8.885	6.05	10.05	5.4	12.35	11.485
11428	134.5	269.166666666667	284.433333333333	153.533333333333	100.7	167.766666666667	189.766666666667	236.566666666667
11429	244.9	391	375.1	272.15	207.45	178.65	311.4	160.5
11430	23.95	62.85	68.25	28.6	16	25.4	32.8	29.6
11431	125.016666666667	96.4166666666667	114.866666666667	98.5666666666667	126.4	111.333333333333	143.816666666667	85.9833333333333
11432	32.2333333333333	18.4533333333333	17.4666666666667	33.2	32.9666666666667	25.0333333333333	22.1666666666667	20.0666666666667
11433	24.7	23.1	21.2	55.5	66.6	25.5	40	24.6
11434	12.9	22.7	15.8	10.6	6.7	5.9	8.5	17.7
11435	59.8	9.4	19.7	21.6	26.1	10.6	8.8	29
11438	315.8	440	534.9	418.4	197	390.1	452.2	683.8
11440	34.35	41.1	31.15	28.8	33.25	23.95	26.5	11.85
11441	10.4	4.6	3.2	2.1	13.7	5.3	13.5	13.1
11443	21	20.4	10.4	17	10.6	11.4	16.5	21.4
11444	216.966666666667	253.266666666667	235.7	174.566666666667	84.1666666666667	166.166666666667	519.633333333333	1375.43333333333
11447	0.3	3.5	2.5	4.55	4.55	12.2	6.7	2.1
11448	5.2	8.5	4.9	6.3	3.8	7.9	6.3	7.5
11449	659.033333333333	609.733333333333	539.366666666667	576.666666666667	567.466666666667	518.5	444.233333333333	478.6
11450	18.3	18	12.8	25.5	14.5	20.6	15.2	25.7
11451	1220.2	1170.4	1146.9	1086.5	1118.3	1002.7	1036.6	1014.8
11459	8.6	6.5	5.3	8.2	4.3	4.3	6.06	5.2
11461	37.1	67.95	69.85	56.05	46	55.85	42.65	33
11464	41.8	29.9	47.1	32.5	48.2	44.7	39.6	34.9
11465	20.5	7.3	5.3	3.2	3.6	15.4	11.3	7.6
11468	16.6	35	20.4	34.1	27.9	18.6	15.7	21.3
11470	1192.1	1752.3	1910.8	1414.7	1391.3	1330	2062.6	1641
11471	489.1	545.6	505	462.7	251.7	436.2	429.3	357.2
11474	3	29.5	14.6	7.1	14.1	9.2	24.9	11.8
11475	121.766666666667	112.2	135.7	128.233333333333	146.166666666667	138.933333333333	90.3333333333333	51.8
11477	72.2	240.766666666667	215.9	128.933333333333	105.8	46.7333333333333	172.7	70.1666666666667
11479	17.7	16.75	10.9	9	15.95	15.65	9.35	12.65
11480	176.75	235.95	250.35	177.5	157.95	142.35	153.5	298.3
11481	45.9	42.2	34.6333333333333	40.1666666666667	38.9	35.6666666666667	26.9666666666667	20.5
11482	378.2	371.685	321.35	400.5	399.7	351.3	244.65	243.3
11484	19.7	4.2	6.6	16.9	15.5	7.4	17.2	1.2
11486	243.4	212.8	252.1	242	162.6	282	247.6	273.5
11487	77.8333333333333	183.633333333333	182.633333333333	113.14	68.7666666666667	91.0333333333333	194.773333333333	68.9
11488	122.45	108.05	110.7	89.85	108.7	107.25	73.45	99.8
11489	17.3	11.45	11.35	9.585	12.935	11.3	17.1	16.8
11490	409.133333333333	318.6	325.366666666667	430.533333333333	356.966666666667	480.766666666667	376.866666666667	281.5
11491	47.2666666666667	37.4	41.5666666666667	47.7666666666667	54.5333333333333	72.3666666666667	48.3666666666667	28
11492	10.4	12.3	15.6	22.5	17	20.8	23.9	10.6
11495	28.3	23.1	24.6	21.4	29.7	15.2	13.8	11.7
11496	10.3	11.5	12.3	12.845	9.65	11.35	12.55	9.1
11497	736.5	921.5	818.5	566.1	457.5	1000.6	616.8	2035.1
11499	35.9	18.7	12.6	22.2	35.6	15.7	57.7	12.6
11500	1.8	14.5	13.1	9.7	14.6	9.3	7.5	26.8
11501	75.2	76.8	72	83.3	82.8	79.7	30.7	68.3
11502	173.6	181.1	188.1	249.7	273.5	274.4	159.8	211
11504	283	848.9	971.5	398.5	450.7	281.6	634.6	465.2
11513	226.7	242.2	199.2	205.433333333333	208.433333333333	235.566666666667	120.433333333333	79
11514	320.1	433.8	409.3	342.8	358.9	281.8	375.6	686.2
11515	63.375	131.65	155.925	60.7	57.525	63.725	68.975	104.6
11516	3.65	5.72	7.95	13.1	9.89	10.45	11.8	5.14
