Gene	GSM461847	GSM461846	GSM461849	GSM461848	GSM461859	GSM461850	GSM461852	GSM461855
Gene	12.0	12.0	12.0	12.0	24.0	24.0	24.0	24.0
11287	4.6528	4.2727	3.8619	4.2035	3.7635	3.6929	3.6612	3.7893
11298	5.3819	5.4162	5.1092	5.5917	5.2219	5.2543	4.9977	5.4793
11302	6.8641	6.3984	7.7218	7.6316	8.6368	8.3214	8.7816	8.8144
11303	5.67106666666667	5.13926666666667	5.70306666666667	5.2988	6.23033333333333	6.43066666666667	5.82383333333333	5.81793333333333
11304	4.7778	5.6052	5.1173	5.2925	4.9414	5.2786	5.2059	4.9365
11305	7.2991	7.1883	7.5089	7.0041	7.9515	7.9416	8.2282	8.3779
11306	5.6099	5.2455	5.56326666666667	5.52326666666667	5.91646666666667	6.04486666666667	5.9157	5.5977
11307	9.273	8.5484	9.5224	8.9972	9.47435	9.7087	9.29825	9.3203
11308	7.20555	6.656275	7.775925	7.149725	7.843825	8.066225	7.760375	7.718175
11350	6.28943333333333	6.2564	5.83346666666667	5.8001	5.89693333333333	6.21473333333333	5.82986666666667	5.91516666666667
11352	8.1794	8.40503333333333	8.1005	8.22816666666667	8.36243333333333	7.65986666666667	7.9244	7.95706666666667
11354	5.7757	6.0854	5.2993	5.4784	5.1645	5.2901	4.9786	5.1367
11363	5.61375	6.00865	5.6116	5.61685	5.90965	5.753	5.95915	5.98295
11364	8.3735	8.0803	8.7607	8.357	8.9089	8.5463	9.342	9.313
11370	8.8293	9.1937	9.1337	8.9458	8.9672	8.7062	9.1737	9.1769
11409	6.1811	7.3625	6.2512	6.5704	6.1772	6.2257	6.2854	6.5239
11416	7.1795	6.8218	7.3977	7.0272	7.219	7.6468	7.6002	7.5603
11418	5.5896	5.3729	5.7946	5.9626	7.1386	6.3185	6.7575	6.9492
11419	9.4382	10.013	9.1934	9.4886	8.4888	8.3929	8.6144	8.6421
11421	6.31635	6.909	6.09695	6.4968	6.0555	6.01145	5.9535	6.2577
11423	6.3782	5.5619	7.1906	6.7904	7.3929	6.843	7.7262	8.0535
11425	5.3038	5.7092	5.2403	5.655	5.1828	5.3762	5.1201	5.5519
11426	7.81465	7.35855	8.36065	7.89495	8.48815	8.38225	8.334	7.94945
