Gene	GSM328658	GSM328668	GSM328678	GSM328660	GSM328670	GSM328672	GSM328657
Gene	24.0	26.0	29.0	39.0	42.0	43.0	63.0
1	6.84543	6.86813	7.08452	6.4739	6.96959	6.77338	5.94635
2	4.605385	4.25182	4.29288	4.41411	4.09553	4.22954	4.28734
3	5.14893	4.45124	4.46492	4.35995	4.50287	4.68434	4.35335
9	7.6069	7.71347	7.72272	7.98723	7.56857	7.85118	7.73771
10	3.73744	3.41374	3.39912	3.50908	3.5573	3.39709	3.4041
12	3.58564	3.52896	3.56516	3.21707	3.57876	3.42064	3.39441
13	3.6556	3.37124	3.645	3.51404	3.47759	3.44077	3.42536
14	8.49723	8.4293	8.47963	8.44471	8.47744	8.25406	8.33706
15	3.56122	3.30585	2.93846	3.199	2.92811	3.59149	3.21053
16	10.2012	9.31051	9.70842	9.53581	9.24341	9.58149	9.17142
18	5.48901666666667	5.29172333333333	4.60037333333333	5.70012333333333	4.49402333333333	5.04144	5.80382
19	3.3551275	3.27137	3.567165	3.3188825	3.395095	3.66451	3.349315
20	4.78606	4.85373	4.66719666666667	4.98385666666667	4.90741	4.80297333333333	4.84016666666667
21	7.08075	6.81074	6.025	6.69494	6.50594	6.409	6.85216
22	8.43675	8.70826	8.37204	8.31997	8.54396	8.36516	8.25021
23	8.45063	8.71733	8.76286	8.91364	8.55839	8.70416	8.62966
24	4.047155	3.92023	3.86169	4.03837	3.969895	4.07278	3.791515
25	7.29802	7.66578	7.67546	7.90083	7.47062	7.59111	7.53927
26	3.0765	3.05851	3.37625	3.03994	3.52576	3.45766	2.85544
27	5.67304666666667	5.74195	5.58208333333333	5.71927666666667	5.87788666666667	5.68407666666667	5.69309333333333
28	4.69954666666667	4.84353333333333	4.62912	4.82154666666667	4.92256666666667	4.76518	4.64910333333333
29	7.462195	6.98265	6.931855	7.00784	7.075965	6.663575	6.94249
30	8.656875	8.587985	9.00761	8.747835	8.828985	8.763225	8.814045
31	5.920595	7.207795	7.29118	7.114965	6.89104	6.98479	6.577525
32	4.76087666666667	4.62228333333333	4.71098833333333	4.61466666666667	4.728935	4.645815	4.66061166666667
33	2.886655	2.87355	2.598735	2.789875	2.729085	2.595375	2.718445
34	11.4366	11.2092	11.1865	11.1904	11.0427	11.2836	11.5079
35	6.69461	6.59124	6.47749	6.51787	6.70316	6.80912	7.48644
