Gene	GSM1133582	GSM1133583	GSM1133584	GSM1133586	GSM1133587	GSM1133585
Gene	6.0	6.0	6.0	24.0	24.0	24.0
11287	14.3289	14.2992	14.3553	14.3779	14.6515	14.368
11298	6.09167	6.08134	5.94908	5.9499	5.78385	6.178
11302	6.38137	6.34991	6.1116	7.04446	7.14311	7.05995
11303	9.71530666666667	8.46514	8.83120333333333	9.15076666666667	9.60562666666667	8.85446
11304	5.28273	5.14656	4.95103	5.26462	5.07845	5.12874
11305	7.81981	8.05863	7.88577	7.97879	7.94587	8.34405
11306	7.73702	7.85425	7.59337333333333	7.00077333333333	7.44289	7.21986666666667
11307	6.08089	5.767785	6.151215	6.359345	7.851655	6.020835
11308	7.176925	7.377185	7.4880675	7.158765	7.344745	7.055955
11350	5.71368	5.67283	5.77025333333333	5.73834	5.69222666666667	5.65662333333333
11352	6.41581333333333	6.33394333333333	6.26390666666667	6.23557666666667	6.24468	6.22817333333333
11354	6.14095	6.10297	6.19486	6.29417	6.10745	6.17184
11363	7.654005	7.683685	7.826705	7.720815	7.743345	7.876395
11364	12.7604	12.7774	12.9807	13.1039	12.8605	13.2679
11370	12.3869	12.3231	12.3964	12.4529	12.3851	12.5124
11409	10.274	10.4446	10.6719	10.9211	10.662	11.1164
11416	9.55637	9.73743	9.63567	10.0363	10.2469	9.83722
11418	4.39975	4.25275	4.11546	4.24276	4.32411	4.64767
11419	6.75397	6.7624	6.7185	6.75679	6.48035	6.9693
11421	6.44947	6.42934	6.481905	6.776325	6.693355	6.649375
11423	3.95874	3.88512	3.94713	4.052	3.89659	4.03643
11425	13.0075	13.0792	13.1903	13.4237	12.8275	13.2466
11426	8.04935	7.870315	7.947655	8.43027	8.83386	8.22764
11428	8.56951666666667	8.75255	8.93445333333333	9.1697	8.97715333333333	9.31195
11429	10.43149	10.6946	11.157	11.17475	10.77815	10.9659
11430	12.80205	12.78745	12.94665	12.86215	13.1549	13.0647
11431	7.83816333333333	7.853655	7.84955833333333	7.82442	7.82955666666667	7.82466666666667
11432	8.63806666666667	8.55415333333333	8.89438	8.51210666666667	8.71875	8.69508
11433	10.3458	10.4192	10.1286	10.2782	11.0529	10.6166
11434	5.14096	5.13645	5.13387	5.17349	5.20268	5.34669
11435	4.50986	4.11069	4.38104	4.21171	4.22732	4.36371
11438	5.12482666666667	5.1072	5.31270333333333	5.00887333333333	4.68931666666667	5.14445
11440	4.715625	4.88982	4.85787	4.82273	4.652775	5.072765
11441	5.64542	5.51352	5.86382	5.66301	5.91222	5.96717
11443	4.77755	4.91938	4.78041	4.26934	4.25346	4.32538
11444	4.57443333333333	4.60967333333333	4.66223333333333	4.78621333333333	4.61832666666667	4.73341666666667
11447	6.6949	6.52333	6.69117	6.82196	6.66286	6.67718
11448	5.05074	5.01492	5.28557	5.09383	5.02031	5.20639
11449	4.34537	4.25102333333333	4.38791333333333	4.57259	4.22159666666667	4.30091
11450	3.61289	3.39173	3.67962	3.59198	3.69506	3.83525
11451	4.0665	3.80513	3.88432	4.06392	4.05305	3.917
11459	5.76748	5.27503	5.48229	5.26195	5.16779	5.47637
11461	11.20278	11.22764	11.10114	11.116245	11.287425	11.33376
11464	5.14611	5.10314	5.02953	4.88476	4.75746	4.98192
11465	12.7611	12.8698	11.9346	11.9225	12.1726	10.3888
11468	3.90878	3.66078	3.89199	3.8379	4.16299	4.25757
11470	5.49564	5.53301	5.51332	5.29225	5.42424	5.46809
11471	6.39145	6.24769	6.44565	6.28967	6.24667	6.62688
11472	4.61448	4.77893	4.60812	4.66684	4.38105	4.67931
11474	4.45156	4.66709	4.6757	4.53192	4.50652	4.64132
11475	5.18402666666667	4.97754333333333	4.89929333333333	5.05435	5.14268	5.3922
11477	7.09232666666667	6.90635333333333	7.18393666666667	6.77971666666667	6.65027	6.69198666666667
11479	6.922805	6.959815	6.836085	7.010945	6.796915	6.87835
11480	8.06317	7.58499	8.05199	7.854125	7.903755	8.096905
11481	5.52882333333333	5.58414	5.78138	5.76220333333333	5.93167	6.27208
11482	4.62432	4.56939	4.61385	4.67848	5.7237	4.683185
11484	7.71247	7.45998	7.29111	7.77578	8.0484	7.98526
11486	4.3779	3.95198	4.46876	5.20853	6.54847	4.64344
11487	8.18533666666667	7.66121666666667	7.61581	7.21635666666667	8.30834	7.32630666666667
11488	7.980005	8.997405	7.981295	6.59825	7.015145	8.14507
11489	4.170605	4.15359	4.04698	4.10133	4.32572	4.30731
11490	5.910105	5.859815	5.8919725	6.1215725	6.1586775	6.041615
11491	7.87998666666667	7.08595	7.11561333333333	6.74654333333333	8.23025	7.37401666666667
11492	4.088575	4.014965	4.145425	4.135885	4.54148	4.008235
11495	3.83983	3.77008	3.62937	3.8121	3.58963	3.85291
11496	4.64595	4.691605	4.6041	4.897615	4.693785	4.843815
11497	4.02813	3.88817	3.81755	3.91933	3.79316	3.92644
11498	6.63387	7.00026	6.74367	6.85507	6.67517	6.75733
11499	3.28506	3.18013	3.36598	3.3171	3.3232	3.52412
11500	4.87702	4.95722	4.98233	4.77993	4.79874	4.9225
11501	5.33691	5.36599	5.34881	5.23911	6.15854	5.48331
11502	10.1203	9.73572	9.91488	10.058	10.4519	10.2142
11504	6.61697	6.20543	6.63489	7.3456	7.96846	6.96199
11512	9.0505	9.72198	9.95511	8.43682	8.26574	8.51849
11513	4.83717333333333	4.81687666666667	4.70802666666667	4.86139666666667	7.90334666666667	4.64649333333333
11514	3.9467	4.50663	4.23523	4.01075	3.72345	3.71665
11515	7.7299575	8.047105	8.0165525	8.2886425	8.0391475	8.768885
11516	3.79087	3.729955	3.854355	3.800395	3.760585	3.772965
11517	5.39985	5.29345	5.22558333333333	5.43293	5.33298	5.43189666666667
11518	8.00935	8.3042	8.21582333333333	7.77617333333333	7.27238	7.53797
11519	4.877508	4.925108	4.853462	5.08403	4.85732	5.114858
11520	12.108	11.9716	12.0391	11.4701	12.6386	12.4086
11522	14.6152	14.5881	14.6238	14.5199	14.2431	14.3029
11529	6.097805	6.0887	6.1781	6.506895	5.9802	5.785515
11532	9.058335	8.88439	9.024315	9.124895	8.953235	9.080985
11534	9.16674	9.182704	9.250798	9.873252	9.451036	9.878344
11535	5.6592	5.569555	5.44883	6.598345	6.646795	5.856145
11536	7.3904	6.52874	7.34461	8.81089	9.32655	8.53841
11537	4.9467	4.73837	4.70948	4.56406	4.52992	4.83272
11538	10.4537	10.205	10.4356	10.3756	10.1816	10.1405
11539	6.77657	6.295865	6.23371	7.685915	6.751695	6.726965
11540	6.2647	6.368025	6.236635	6.33718	6.577945	6.62398
11541	3.7860025	3.80194	3.9224925	3.9444375	3.9303525	3.811025
11542	3.70616	3.29797	3.48264	3.38967	3.2485	3.33338
11544	6.229745	5.924345	5.97028	6.052105	6.371885	5.96094
11545	7.821005	8.0267425	7.56901	7.51528	7.5187825	7.5471625
11546	8.40614	8.46092	8.31889	8.47111	8.11678	8.29698
11548	7.73251	7.93115	7.95294	8.08223	7.86354	8.35072
