Gene	GSM635888	GSM635889	GSM635884	GSM635885	GSM635886	GSM635887	GSM635895	GSM635894	GSM635893	GSM635892	GSM635891	GSM635890	GSM635897	GSM635896	GSM635899	GSM635898	GSM635901	GSM635900
Gene	6.0	6.0	6.0	6.0	6.0	6.0	14.0	14.0	14.0	14.0	14.0	14.0	18.0	18.0	18.0	18.0	18.0	18.0
11287	3.67408	4.06029	4.20454	3.72435	3.52778	3.72271	3.68788	3.77199	3.93047	3.74231	3.96077	3.86266	3.70238	3.75642	3.8205	3.71568	3.85026	3.69081
11298	4.70716	4.95398	5.15744	4.53393	4.30491	4.30904	4.89864	4.86508	4.42267	4.57631	4.62672	4.69024	4.61479	4.62361	4.53897	4.68257	4.47098	4.3362
11302	6.226405	6.393835	6.33278	6.58024	6.20304	6.11749	6.10486	6.14442	5.99532	6.278445	6.420855	6.42127	5.7763	6.246855	6.077965	6.08286	6.125415	6.098685
11303	11.094	11.0735	8.51471	7.72738	8.69963	10.84	10.9235	10.7925	10.8225	8.78946	8.22486	8.593	8.60486	8.06578	10.5405	8.37494	10.6279	10.5187
11304	4.75546	4.71115	4.80341	4.41985	4.32185	4.55	4.87358	4.75698	4.42894	4.45566	4.32966	4.46836	4.3426	4.66641	4.81823	4.57434	5.74578	5.27278
11305	8.71948	8.70771	7.27733	7.40236	7.32679	8.52166	8.09193	8.14473	8.00094	7.2913	7.38735	7.17936	7.29312	7.0813	8.20694	7.29789	8.02087	8.0531
11306	7.56998	7.44055	8.67992	8.28249	8.91672	7.6004	7.64206	7.7495	7.66713	8.86787	8.79833	8.91372	9.39287	9.13854	8.08963	9.02762	8.03737	8.11039
11307	9.25593	9.25928	8.54629	9.27089	9.21784	8.90967	9.24427	9.31667	9.6391	9.66543	9.56619	9.43098	9.18236	8.96722	9.16478	8.985	9.21387	9.20997
11308	10.3893	10.4945	9.34268	10.4683	10.5885	10.5202	10.7709	10.7326	10.8257	10.751	10.6457	10.8561	10.3512	10.2834	10.2136	10.4441	10.3178	10.2327
11350	8.04247	7.98352	8.1149	7.48265	7.97533	7.96288	8.3663	8.43631	8.43187	7.82775	7.52741	7.81886	7.72397	7.45663	7.65549	8.0042	7.69338	7.73459
