Gene	GSM684640	GSM684639	GSM684638	GSM684637	GSM684636	GSM684635	GSM684634	GSM684641	GSM684655	GSM684653	GSM684657	GSM684656	GSM684651	GSM684654	GSM684652	GSM684650
Gene	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
22933	4.43639	4.40051	4.3957	4.4534	4.4365	4.45082	4.38172	4.61275	4.13813	4.41876	4.36805	4.33478	4.3679	3.60041	4.36204	4.2929
24152	3.52052	3.59842	3.51351	3.94791	3.54137	3.55007	3.51455	3.51415	3.38303	3.52958	3.39752	3.4572	3.48606	3.48665	3.55032	3.49465
24153	6.95609	7.85192	8.14624	7.09425	5.52502	8.12444	8.31338	7.71487	7.71688	9.81926	7.04179	7.49181	7.80604	15.7042	5.09931	8.59196
24157	13.237	12.9936	12.9249	13.1292	13.0082	12.859	12.7611	13.2871	12.8112	12.8813	13.0957	12.7431	12.8761	13.6856	12.9858	12.9136
24158	13.9662	13.9332	13.7803	14.0447	14.0327	13.9565	13.9866	13.9626	13.4874	13.5902	13.7153	13.8699	13.8125	12.2923	13.6509	14.011
24159	11.8368	11.7558	13.3279	12.211	10.9853	12.2182	12.3734	12.0931	12.799	13.8762	13.081	11.6336	12.598	10.7668	13.7693	12.2569
24161	10.64305	10.7084	10.69505	10.67865	10.6902	10.68775	10.7343	10.7067	10.7443	10.70275	10.64515	10.52095	10.9829	10.35775	10.50095	10.867
24162	11.5843	11.4998	11.4827	11.2924	11.3528	11.4293	11.4623	11.2886	11.4454	11.3685	11.4303	11.3204	11.1465	11.1591	11.0331	11.7166
24163	2.63662	2.60147	2.59417	2.63382	2.66254	2.81168	2.68666	3.15356	2.49365	3.22432	2.63841	2.59367	2.63533	2.68247	2.59374	2.57673
24165	6.66906	6.32303	6.3108	6.09942	6.67922	6.38868	6.91194	6.62814	8.49723	7.29008	6.76192	9.46791	7.50677	10.7779	6.13947	7.43879
24166	3.22186	3.110985	3.067955	3.19598	3.12283	3.136235	3.088615	3.29156	2.866585	3.10433	3.05529	3.05319	3.06045	2.985245	3.09152	3.058105
24167	4.0175775	3.5132	3.3185825	3.58275	3.5914975	3.4662275	3.512145	3.4780625	3.1819075	3.4361875	3.351965	3.2681875	3.603075	3.45428	3.3840275	3.356555
24170	9.121215	9.27065	8.938955	9.16711	9.18198	9.063955	9.017825	9.40548	9.33189	9.08927	9.22885	8.72418	9.126235	8.960365	9.148645	8.843455
