Gene	GSM847777	GSM847779	GSM847778	GSM847780	GSM847781	GSM847782	GSM847784	GSM847785	GSM847783	GSM847788	GSM847786	GSM847787	GSM847791	GSM847790	GSM847789	GSM847792	GSM847793	GSM847794
Gene	3.0	3.0	3.0	6.0	6.0	6.0	12.0	12.0	12.0	19.0	19.0	19.0	26.0	26.0	26.0	32.5	32.5	32.5
11307	5.270934072	5.475548443	5.128792469	5.183945522	5.379466587	5.366950391	5.118854332	5.521483403	5.217818709	4.956165494	5.495907285	4.906516001	5.138793091	4.960743494	5.265707559	5.125829712	5.190047126	4.938164927
11350	4.49137636	4.621858233	4.397218647	4.23514156	4.637360245	4.158743184	4.460843743	4.440169505	4.51745171	4.384622179	4.472438417	4.519869638	4.677830118	4.164263571	4.456550381	4.281556156	4.660230226	4.219534384
11363	3.440300207	3.473513331	3.501416571	3.336432174	3.540767442	3.525500701	3.399232316	3.508548376	3.432640079	3.775592996	3.193221743	3.691995983	3.465676717	3.482828822	3.401723485	3.302141488	3.311248138	3.352780861
11421	8.28947977	8.119782292	8.462375249	7.687661414	8.471316147	8.265104341	8.390124189	8.22786503	8.270418096	7.998181974	8.254250646	8.64389719	8.50252065	8.319420734	8.420280871	8.320421238	8.907812134	8.769168287
11431	7.379931404	7.21353654933333	7.499227643	7.33945514333333	7.343296064	7.372871512	7.426362618	7.18188184566667	7.372137305	7.48558639533333	7.20580765566667	7.258578296	7.19290750333333	7.53383568533333	7.294984154	7.44108514	7.444898842	7.45098775733333
11432	7.337526819	7.3084425	7.317515435	7.20423852	7.336937748	7.839957469	7.544518797	7.57834442	7.355297765	7.10887913	8.020683509	7.66629194	7.761191987	7.430097531	7.563512028	7.462435506	7.59284971	7.293337089
11449	3.535335279	3.362487938	3.497915965	3.529324767	3.563010709	3.559789935	3.597087616	3.491784135	3.661410749	3.592506875	3.389564777	3.469324694	3.255582255	3.158805062	3.585830587	3.485881037	3.569105692	3.495508313
11475	3.45082575	3.46963276	3.447105426	3.5336660285	3.540008271	3.4698122255	3.4109615335	3.5255281535	3.476756534	3.4867208205	3.345465157	3.4778693005	3.5176562925	3.5052455235	3.4954037845	3.4001859505	3.44482793	3.5554552575
11477	4.916945723	4.813543457	4.854841238	5.105328741	4.7638017	4.403985543	4.947339316	4.88669747	5.17360533	4.907296995	4.819145867	4.911000124	4.879609812	4.676288918	5.027967317	4.621017692	4.982741932	4.778650631
11479	9.167129706	9.063371794	8.903178356	8.694573676	9.119170639	9.175874436	8.922373214	9.132495325	9.060002431	8.92649759	8.994838762	9.098509371	8.98396838	8.942458802	9.081567066	9.190401497	8.83553167	8.771686086
11480	7.978267444	8.055816157	8.181132724	8.009969631	8.207058847	8.368434899	7.986222756	8.263220267	8.145867093	8.090393727	8.173166205	8.363911307	8.240086513	8.027654994	7.920683419	8.12719321	8.162448572	8.070853527
11481	5.104455598	4.889651814	4.978518021	5.0378947805	5.0257235125	4.797516741	4.96282712	4.7558732115	4.9585104595	5.038743428	4.7348486515	4.812904863	4.6137338915	5.044068777	5.1656669055	4.621114672	4.8334946495	4.8795734295
11487	7.8595091415	7.526285423	8.309555637	8.019621064	7.805616281	7.6493144405	8.095507529	7.5401948565	7.87379891	8.0207837525	7.9836164495	7.7270454915	8.069480181	8.1672130915	7.7749067545	8.150373187	7.928650115	8.0385967895
11488	5.759926795	5.234575874	5.340913613	5.293513423	5.43034639	5.723619599	5.344043974	5.659710106	5.560686299	5.453027193	5.483650726	5.671453092	5.368423385	5.033820607	5.484066108	5.122820027	5.493506873	5.528550268
11496	6.928243097	6.995942101	6.435744058	6.757277618	7.341970699	7.188059845	6.279554398	7.034805725	6.684109499	7.00718712	7.123851616	7.078659347	7.082241065	6.731093193	7.250413805	7.007954344	7.043303564	7.321024897
11515	7.008461673	6.96432105466667	6.66635992133333	6.39382480166667	6.97463750466667	7.19477189066667	6.73743326933333	7.13742006033333	6.97087703166667	6.555501428	6.88186264133333	7.13058256166667	7.12538959133333	6.67011889866667	6.80897889566667	7.05838420666667	7.21795371833333	6.80809851866667
11516	2.960905445	2.98020014	2.879694125	2.96667463	2.88999581	3.011825116	2.915178158	2.915178158	2.979780054	2.956101064	2.956654214	2.900899549	2.900382922	2.985665672	2.855709994	2.872595429	2.825843848	2.968407543
11519	4.48607659666667	4.48255315233333	4.43734251333333	4.59726244	4.446181813	4.227251634	4.34283729566667	4.41542673133333	4.494446907	4.49645532833333	4.498375963	4.355243872	4.413390666	4.52019926766667	4.509577482	4.51382533566667	4.27975694433333	4.333307198
11532	4.302616235	4.127572586	4.176568839	4.253973553	4.369077523	3.890795283	4.082490228	4.030089869	4.304717445	4.483563471	3.936378145	4.145571819	4.014883577	4.009229375	4.248560996	4.069414858	3.9568785	4.100546187
11534	4.19280728266667	4.193846617	4.364008463	4.152768057	4.11434922933333	4.20413409933333	4.19855683733333	4.29842744	4.336786855	4.26422167066667	4.14723466866667	4.15062580433333	4.205631601	4.171785641	4.045286624	4.07679768666667	4.07814078833333	4.07112207733333
11542	3.350129277	3.289601662	2.983839716	3.471474085	3.026400685	3.242451293	2.995838443	3.321592554	3.453467664	3.273487034	3.343304055	3.083120996	3.152657791	3.241341854	3.50277718	3.397481052	3.18861139	3.189043065
11544	3.926259	4.030642369	3.68850465	3.819229064	3.996458133	3.880357077	3.915835608	3.904744569	3.833729404	3.777311086	4.00636608	3.964446914	3.973227288	3.831687659	3.819229064	4.161213626	3.960362426	3.666448071
