Gene	GSM847797	GSM847796	GSM847795	GSM847800	GSM847799	GSM847798	GSM847801	GSM847803	GSM847802	GSM847806	GSM847805	GSM847804	GSM847807	GSM847809	GSM847808	GSM847812	GSM847810	GSM847811
Gene	3.0	3.0	3.0	6.0	6.0	6.0	12.0	12.0	12.0	19.0	19.0	19.0	26.0	26.0	26.0	32.5	32.5	32.5
11307	4.817050672	4.930293234	4.943643062	4.763951296	4.827285791	5.078135293	5.205076789	4.98736002	5.085910172	5.004100441	5.040685321	5.181296305	5.121431401	5.116932232	5.113570661	4.743897167	5.088473303	5.054586494
11350	3.665838656	3.531603873	3.955759802	3.851756396	3.836156087	4.148155753	3.562888936	3.522736945	3.616549396	3.934144699	3.601135471	3.461284865	3.626863503	3.665383558	3.598178331	3.471213617	3.550662872	3.674282808
11363	3.129686767	3.059091108	2.964050714	3.032438429	3.500123421	3.311040923	3.175716172	3.116143717	3.042212813	3.196771643	3.21645641	3.129739815	3.001046827	3.397776815	3.117613405	3.054279596	2.941426805	3.115954884
11421	6.107461194	6.217173041	6.307693371	6.184743091	6.362235286	6.219675101	6.232689282	6.058417788	6.180412854	6.196008501	6.228564585	6.228337787	6.443581252	6.707612518	6.493585616	6.278082181	6.153873248	6.195702557
11431	7.33441843	7.219751641	7.425692766	7.35242924466667	7.472888205	7.29380005633333	7.23008287366667	7.740183046	7.32454798766667	7.52188530933333	7.196069296	7.25185395533333	7.37890584766667	7.341340026	7.04620704066667	7.415382207	7.23536861233333	7.47990507666667
11432	7.326879154	7.693367852	7.178340546	7.648023686	7.747622744	7.758230101	7.765824408	7.286060659	7.3627982	7.54331402	7.93668602	7.734004367	7.871178916	7.572208035	7.636269006	7.305293955	7.623353712	7.83766476
11449	3.274022031	3.436677657	3.436948942	3.352405247	3.399367051	3.386963427	3.400974627	3.379409145	3.507637394	3.444255509	3.562588541	3.661220832	3.535907582	3.315593189	3.598331096	3.443274715	3.372837572	3.355843522
11475	3.25747746	3.3322537315	3.4124100535	3.482882809	3.3042050005	3.3673147175	3.1326075055	3.3156304965	3.2690160875	3.4500613635	3.1707645375	3.345638261	3.27434379	3.565102967	3.2664062745	3.3670859105	3.371711033	3.274190253
11477	4.498365647	4.481810278	4.418925265	4.421380445	4.556620906	4.49489426	4.637635443	4.269745303	4.499903752	4.492864721	4.492454443	4.481193333	4.606373317	4.294908637	4.903803302	4.351286589	4.466512247	4.509859308
11479	7.062137093	6.938277333	6.795733131	7.219201894	7.221735177	6.192072622	6.989960594	6.745322026	7.266976549	6.982697519	7.213010877	6.951179072	7.112079292	6.280390307	6.883443821	7.049533227	7.348999466	7.087801658
11480	7.600611877	7.730976471	7.367678748	7.515792947	7.828649888	7.613597226	7.723874112	7.556266785	7.511040715	7.341812342	7.625336339	7.129774456	7.545386073	7.085638183	7.328272204	7.450863407	7.315813812	7.691811524
