Gene	GSM1695086	GSM1695087	GSM1695084	GSM1695085	GSM1695088	GSM1695089	GSM1695091	GSM1695090
Gene	2.0	2.0	2.0	2.0	12.0	12.0	12.0	12.0
11287	6.398114982	6.409020604	6.307961058	6.40997624	6.301217308	6.319001974	6.298704514	6.451879859
11298	6.36497976	6.514340325	6.424010706	6.424016587	6.410558792	6.430627449	6.354442544	6.441088766
11302	9.302433461	9.292430617	9.491811668	9.395874268	8.929280826	9.19502475	9.192404146	8.882665069
11303	6.402851741	6.403744373	6.40918132	6.395149387	6.451874276	6.414108684	6.446716939	6.382680919
11304	6.3901680495	6.4574801965	6.404708676	6.38926958625	6.40451055625	6.3924612155	6.4267899835	6.42451892375
11305	7.588844316	7.33222841	7.651619895	7.724051753	7.486273619	7.447663839	7.657954911	7.104082427
11306	7.220754452	7.453600022	7.213425742	7.236897881	7.300666731	7.402108653	7.305230324	7.567269507
11308	9.183076079	9.740619576	9.328791043	9.203024309	9.591251812	9.486271255	9.171368029	9.726484659
11350	6.5288381554	6.5530115902	6.588240414	6.5213205352	6.5353964452	6.5007986418	6.5340357906	6.498488925
11352	6.346864746	6.389343051	6.452146252	6.412700117	6.368921088	6.316667142	6.41434627	6.428054327
11354	6.497928759	6.501547164	6.455357163	6.546001165	6.494684064	6.560387095	6.587535372	6.450826782
11363	7.147438843	7.10217270966667	7.37061257633333	7.35286085633333	7.22872968866667	7.18053853733333	7.13586037	7.00582150033333
11364	10.0144201565	9.930028218	10.474250432	10.393636643	10.417625023	10.2381143665	10.0149031565	10.076099143
11370	9.803236551	9.5506641745	10.061899122	9.9420478215	9.9223730785	9.8909245	9.7161840215	9.8647994445
11409	7.648503773	7.4150181935	7.8749545245	7.8202412065	7.5039345915	7.7205922975	7.6650404195	7.399563556
11416	6.433443717	6.3945836	6.412778442	6.44892756	6.476252998	6.420623349	6.467934099	6.510883422
11418	6.400739309	6.40835713866667	6.40836959533333	6.445974445	6.41450628866667	6.43564333566667	6.47235111666667	6.42195822466667
11419	6.453165265	6.436194591	6.424981311	6.448336593	6.439401986	6.438903376	6.410406017	6.466121236
11421	7.61027784066667	7.72893599366667	7.880105522	7.92730667066667	7.823894319	7.68696311133333	7.812326106	7.443318193
11423	6.4758165135	6.4437763355	6.4430822645	6.46455364	6.4688947625	6.4844312125	6.406080383	6.455597397
11426	6.46576777	6.4715787468	6.4293168404	6.4510274348	6.472294944	6.4614314754	6.4891032936	6.4974369602
11428	7.168447069	7.129118858	7.129267559	7.111979995	6.988257448	7.022158792	6.847550326	6.964585147
11429	10.390598565	9.905402837	10.62463275	10.79068977	10.1449668735	10.519084685	10.2803084955	10.223410786
11430	6.384193877	6.4004532255	6.4373724955	6.4059236225	6.4669441035	6.4740856735	6.415491153	6.425110343
11431	7.4720091545	7.4130961225	7.453094281	7.41199982	7.424069437	7.423516365	7.455140598	7.444473406
11432	8.33588602533333	8.38617446866667	8.34624614466667	8.32046514433333	8.51717290966667	8.457012347	8.32432840033333	8.46550236066667
11433	6.467424183	6.595812257	6.567576274	6.542199194	6.627477045	6.607023412	6.680529501	6.520511425
11434	6.479226443	6.3643460815	6.437208107	6.442285596	6.423549374	6.3869341125	6.370264186	6.432848978
11435	6.79102170333333	6.72243483666667	6.654951386	6.702877798	6.59292907966667	6.83009256633333	6.51846662366667	6.54349262366667
11438	6.451662894	6.43432714533333	6.40365703766667	6.46057138866667	6.374710391	6.442321978	6.43186350533333	6.42036668566667
11440	6.4472095245	6.48915275	6.379309818	6.4506705975	6.403332626	6.4290921025	6.4323125665	6.4142709405
11441	6.4426471815	6.4915397625	6.521118355	6.4880268875	6.4737665995	6.4530085265	6.492642482	6.4639305245
11443	7.8954314805	8.013075198	7.764239237	7.767417744	7.845169785	7.8749000595	7.8640459965	8.0766678815
11444	6.4540175765	6.4558332145	6.41447859925	6.42410091975	6.44845060925	6.4329493435	6.427382639	6.45448310425
11447	6.375565064	6.3800699175	6.4231131825	6.3874704175	6.3878155145	6.40172961	6.4397615615	6.367485478
11448	6.88620072	6.809062549	6.819736617	6.687379854	6.758500571	6.966146163	6.688479146	6.8134651
11449	6.4333895765	6.4412371105	6.4977518835	6.4194870865	6.376988309	6.426592689	6.400423785	6.43759085
11450	8.961174635	9.260560059	10.13940952	9.944185642	9.48519701	9.755532396	9.06722481	9.40687962
11451	6.340550542	6.421831526	6.292245753	6.35494428	6.39339113	6.344239834	6.347552056	6.36871428
11459	6.471563784	6.47142499	6.437690307	6.418193167	6.424054537	6.728910006	6.492824518	6.45917025
11461	10.725745385	9.8400932758	10.3703618416	10.3059940876	10.2323052562	9.9593082284	10.3729327704	11.1606388858
11464	6.5384864285	6.789855409	6.72643939	6.653720085	6.496050987	6.5473890535	6.481905347	6.607469585
11465	6.500916877	6.607116267	6.462924488	6.432138411	6.452988372	6.514890197	6.436614311	6.456551669
11468	12.4763847	12.34621921	12.09059342	12.32132207	12.06976246	11.83765247	12.08661591	11.61408029
11470	6.415549586	6.387367661	6.376606989	6.382270085	6.4387286	6.394203665	6.437988681	6.350765053
11471	6.320917637	6.396509412	6.396706865	6.39695496	6.364266754	6.356583784	6.438433241	6.386578366
11472	7.047453444	7.91453272633333	6.94770844133333	7.052202413	7.57826923466667	7.461970821	7.394531301	7.465022455
11474	6.53931797966667	6.56769457466667	6.53292270833333	6.48944588933333	6.495216405	6.52097439533333	6.56166148766667	6.516777313
11475	12.8312758616	12.8725230272	12.862284537	12.871716665	12.7812932474	12.8332160808	12.767837614	12.6293283364
11477	7.2416003325	7.3999121265	7.1765721355	7.2838312645	7.1526448895	7.262048891	7.2299100805	7.1906909725
11479	6.5425933775	6.563338265	6.772768614	6.5730057045	6.554685981	6.4845946025	6.5780839545	6.430435971
11480	6.538748696	6.656176861	6.471660442	6.561230771	6.699584188	6.543917542	6.56088417	6.605145122
11481	8.757058996	8.428569355	8.888752925	8.739901912	8.291615471	8.292657801	8.52994302	8.108059557
11482	7.170603485	6.986113519	7.13357684	7.166566454	6.924802609	7.174809031	7.158194743	6.963965535
11484	6.5710908935	6.5871744745	6.585006517	6.5892027035	6.570276451	6.5907097905	6.592772474	6.6577247775
11486	6.8505842415	6.683683572	6.682482764	6.7112965155	6.615572765	6.7125034745	6.688262834	6.633361423
11487	6.465101729	6.378732671	6.414363833	6.433821372	6.495165699	6.397242594	6.446786472	6.397210301
11488	6.62688501666667	6.59097565633333	6.652170475	6.71435458466667	6.57854389733333	6.63379855866667	6.62332245133333	6.60658736
11489	6.45566825233333	6.43929893	6.430513826	6.44174858733333	6.434178934	6.45199233666667	6.42669549966667	6.45596351466667
11490	7.2552035066	7.1995570412	7.3178506256	7.3302870918	7.207506123	7.2371222	7.2918257884	7.1909537106
11491	7.6495550385	7.60411589	7.511917822	7.508348277	7.555327997	7.4751181995	7.4484190655	7.4987156875
11492	7.556640866	7.502241149	7.615602573	7.618077199	7.154199389	7.365984708	7.202913579	7.244950903
11495	6.429787504	6.400598005	6.406490525	6.506216464	6.455265517	6.395734963	6.424378652	6.469130631
11496	6.47565528583333	6.45310054566667	6.4504568405	6.48501959883333	6.48013041466667	6.45591633883333	6.46489898833333	6.47462850116667
11497	6.401265021	6.380185256	6.390873204	6.434139275	6.367251491	6.415831763	6.468319345	6.457715184
11498	6.555064853	6.51928131	6.50935927566667	6.519804049	6.56567684766667	6.585389439	6.57403965633333	6.595703978
11499	6.608341332	6.487260207	6.489086087	6.567576274	6.568626561	6.524463516	6.534692536	6.703861999
11500	6.485013355	6.487141263	6.529038175	6.384780901	6.413974311	6.458945297	6.461874085	6.495664693
11501	6.4855370315	6.5508394655	6.470191936	6.4423171835	6.582085838	6.5200140225	6.476195725	6.501522284
11502	7.777758705	7.97749841	7.50955644	7.782819922	7.98682275	7.988138674	7.681946904	7.91384822
11504	6.97582247733333	7.148852594	6.91392332566667	6.97656735033333	7.30851245666667	6.99906316166667	7.15240554866667	6.803967481
11512	7.56609856933333	7.526020373	7.553227944	7.60752869366667	7.571827456	7.52704586466667	7.68526955	7.50118182833333
11513	8.033387754	7.929820399	8.04451153066667	7.941290109	7.79715111133333	7.82110977	7.86872586033333	7.62269740766667
11514	6.460201598	6.536176702	6.462592172	6.424174157	6.512121745	6.47816505	6.394061871	6.516900303
11515	7.629653326	7.761547881	7.460692776	7.426224772	7.562627823	7.483312022	7.463556421	7.460468729
11516	6.489720901	6.462661829	6.419959736	6.482344977	6.406528542	6.45682037	6.485138702	6.398831658
11517	6.552127868	6.53168230933333	6.49754805433333	6.47375112933333	6.474178894	6.45224526566667	6.494394301	6.47615120933333
11518	8.2431978992	8.1135542448	8.3011581232	8.270856609	8.165906734	8.1432312302	8.1495696496	7.9902196352
11519	6.41755276666667	6.42199881266667	6.41308679466667	6.416930591	6.45374667666667	6.44764041	6.41557588433333	6.408334593
11520	7.414602864	7.437054792	7.644085921	7.876436061	7.90065562	8.039679678	7.57817516	7.672435095
11522	8.704421787	8.348929111	9.211581679	8.910363882	9.155550376	9.114013753	8.936491454	9.181124225
11529	8.742104106	8.513040623	9.08116243	8.787902872	8.68013982	8.578505491	8.294814952	9.035275851
11532	7.0436994265	7.00872613825	7.00698142125	7.078284433	7.08603765575	7.07691449775	7.0478051635	7.03014061425
11534	9.98329297	10.1096649203333	10.0377587513333	9.94621958066667	10.187914409	10.180478775	10.107220302	10.2653450456667
11535	7.313630611	7.34601731	6.830663985	7.046266722	7.11162779	7.103167623	6.876287376	6.942199981
