Gene	GSM1921099	GSM1921098	GSM1921101	GSM1921100	GSM1921103	GSM1921102	GSM1921105	GSM1921104	GSM1921106
Gene	4.5	4.5	4.5	4.5	24.0	24.0	24.0	24.0	24.0
11287	5.08777	4.89183	5.27452	4.9921	4.9468	4.9856	4.9921	4.89893	4.9921
11298	6.30095	6.12	6.15446	6.16333	6.06583	5.84322	6.02373	6.10741	5.98717
11302	6.93199	6.96637	6.886495	6.87309	6.79491	6.665455	6.665535	6.839955	6.80899
11303	7.54076	7.50248	7.53212	7.24157	7.89214	7.58378	7.24108	8.71445	7.54076
11304	6.52446	6.11779	5.99034	6.09648	6.4028	6.09648	5.75648	5.8006	6.09648
11305	7.16539	7.17506	7.15539	7.15539	7.22889	7.14838	7.15539	7.07211	7.15539
11306	9.84591	9.84591	9.88463	9.92533	9.7801	9.73832	9.91745	9.74894	9.84591
11307	6.7453	6.58266	6.67349	6.68317	6.99734	6.7453	6.87886	6.81618	6.76476
11308	9.74259	9.64244	9.59271	9.62581	9.57017	9.64282	9.77621	9.77427	9.53644
11350	7.55567	7.55567	7.58431	7.42021	7.55567	7.55567	7.55567	7.55567	7.55567
11352	7.24538	7.01425	7.03211	7.14643	7.13869	7.11995	7.15572	7.13869	7.24017
11354	5.20836	5.10467	5.57293	5.24831	5.04121	4.95192	5.11296	5.22293	5.155
11363	11.66842	11.7621	11.6498	11.62827	11.8164	11.71548	11.69465	11.78215	11.79864
11364	11.86781	11.98346	12.03115	12.01526	12.18242	12.16944	12.05761	11.78703	12.21457
11370	10.66943	10.79282	10.65012	10.6983	10.94352	11.06759	10.75552	10.85112	10.90788
11409	6.70478	6.70566	6.5913	6.64384	6.83366	6.70478	6.64704	6.78742	6.7433
11416	9.98496	10.11206	10.0955	10.16629	10.18888	10.11354	10.06824	9.96652	10.1083
11418	5.6551	5.64015	5.86731	5.94396	5.52181	5.64015	5.59335	5.64015	5.47325
11419	6.07944	5.89976	6.10736	5.93049	5.89529	5.91826	5.75227	5.89976	5.89976
11421	9.4641	9.37179	9.42899	9.23862	9.98023	9.6908	9.4946	9.2301	9.83063
11423	5.63195	5.89977	5.87025	5.87589	5.87589	5.88539	5.87589	5.87589	5.87589
11425	6.78444	6.73337	7.07468	6.9746	6.69139	6.73337	6.68108	6.73337	6.58778
11426	9.81316	9.77824	9.81316	9.78468	9.95383	9.84202	9.81316	9.81316	9.79734
11428	10.61384	10.57658	10.39154	10.61384	10.89462	10.66223	10.60448	10.60827	10.72503
11429	11.27426	11.33939	11.22516	11.31166	11.66807	11.41732	11.41034	11.19991	11.4399
11430	10.15734	10.26507	10.11119	10.23673	10.55999	10.28808	10.18491	10.28071	10.36446
11431	8.75064	8.72883	8.736488	8.746178	8.79205	8.719016	8.780374	8.636978	8.769098
11432	8.0435	7.93439	7.99859	7.92949	8.27307	8.14122	8.0435	8.05971	8.0435
