Human	Original	Intercept	Age	PVal
34	24158	4.87142200095895	0.0314343138568828	0.00822980911541321
47	24159	7.17216683079948	0.00998887387387504	0.342685495189091
52	24161	5.44678254101786	0.0110735785390223	0.493912403101282
53	24162	5.31897081717656	-0.00132367691701828	0.926319929918117
100	24165	1.58412848483858	-0.0276804162322869	0.187437389872651
117	24167	4.95421165193478	0.00363154560030484	0.792634588036706
118	24170	7.29112549467942	0.00227138609390298	0.730560006931572
119	24171	5.78096687415181	0.00447968391017975	0.714083964794348
151	24174	-0.754011564114574	0.00986597072724873	0.506822402337213
154	24176	0.38648218091027	0.0347786635178087	0.208697467999531
174	24177	0.510686689659245	0.005218972155317	0.959240046866129
183	24179	8.23348834300333	0.0163047131386664	0.469381405145021
204	24184	3.84401544891691	0.0136633351786041	0.0284323868127448
207	24185	5.82996682823953	-0.00304592481148986	0.931287382421063
213	24186	1.00883773390196	0.294905765146236	0.0103292294376345
229	24190	-0.284083918253501	0.148521488789009	0.35383530363334
230	24191	10.4430862458912	-0.00261906112818251	0.382572383060015
231	24192	6.09152013058607	0.0313274425920748	0.0269243488041519
324	24205	6.69156789573278	0.00627461610488013	0.814760470228876
327	24206	5.30679363796263	0.000209929683828486	0.970302103263775
367	24208	2.6285730225461	0.00442844673069109	0.686809977841858
432	24210	0.610496304813508	0.0728834355941745	0.0898124081926587
476	24211	9.38820410270776	-0.00742232914612889	0.271435879665424
491	24215	7.2710335251463	-0.006872813917719	0.259820461390574
567	24223	7.19084626579619	0.0260037241902047	0.128317926476661
596	24224	0.722739577256498	0.0232441480340052	0.263217338630445
706	24230	2.43832201747309	0.0305469351622637	0.110839265319203
722	24235	-0.674963614292525	0.0849562793381965	0.515348486821112
725	24236	3.21277760565336	-0.0762304668724657	0.544529210246034
729	24237	-2.31985089523454	0.125610425741407	0.0918082021193385
775	24239	4.54295532221154	0.00277666465991321	0.876026577157589
790	24240	3.65727204620799	0.0135027768496953	0.0223179521764977
817	24246	6.08532079616076	0.000284297882469376	0.979959333113319
847	24248	5.79079065444977	0.0310400092606589	0.284956744976543
963	24251	2.34755705758695	0.0205419243469067	0.341315833300143
1050	24252	0.00558831620569056	0.06502637367553	0.00702799712751394
1056	24254	-2.49750875683767	-0.000508408702452253	0.98977206148586
1140	24261	-1.77805497729836	0.0167738972257834	0.618723908875359
1152	24264	10.7172355745442	0.0100764106718832	0.631707950074825
100616414	24267	4.74925880493855	0.0294352614999367	0.00342722045283358
1357	24269	3.80546858095172	-0.127060981313473	0.423604054099317
1543	24296	1.74771708172514	-0.0661384335477833	0.634101779453059
1580	24307	0.291005555816384	-0.0354698817917945	0.00975037220957616
1628	24309	5.86219210125934	0.00550667450111503	0.584819492733209
1644	24311	2.32021257116235	0.0143132762201543	0.218747630972834
1728	24314	3.77136847225615	0.0230882201397311	0.100082086052318
1906	24323	1.36994386501485	-0.00316024816042455	0.899580452738536
1909	24326	-0.104512914142236	0.00548003948303034	0.785704393819361
1956	24329	3.55745482537085	0.0073370958717182	0.41174458197898
1958	24330	4.08051811231835	0.0421060216870287	0.451828026285247
1990	24331	-2.16664182834204	0.0547800721927524	0.265030739740537
2057	24336	-0.316147449862938	0.00313970505461247	0.803488806193955
2168	24360	12.7268083219437	-0.375321601518727	0.0448414182513473
2176	24361	1.48903155606991	-0.00643148468091907	0.803483896674049
2203	24362	3.79209225033429	-0.0435075160451972	0.81404189316217
2244	24366	-1.88752048585221	0.208104157671883	0.24962665203565
2266	24367	-0.970962143009304	0.185151673961846	0.276773046666329
2271	24368	7.1477433776518	-0.000271802720634389	0.93045154633679
10468	24373	1.45591833497422	-0.00682493780761827	0.810456094949533
2517	24375	5.81357742958972	0.0137133823426531	0.0391416376421592
2571	24379	7.78104445860213	0.008174786345683	0.596442462878882
2595	24382	2.87066711785772	-0.010587764382623	0.501217834009282
2638	24384	-3.40759371042615	0.323921092929784	0.00645928202270078
2697	24392	7.39657056770986	-0.00943681448190544	0.627609814424488
2782	24400	9.04363700176794	-0.00187951585018758	0.515974406795718
2805	24401	8.58876077551748	0.00107525216865832	0.962513180902724
2900	24406	4.19433869526608	0.000860869496877464	0.959688570596651
2901	24407	4.56159042130552	0.00270099751657971	0.873602197234056
