Human	Original	Intercept	Age	PVal
1	1	7.58668113182773	-0.023103262867647	0.0285892839424006
2	2	4.48577570378151	-0.00460084558823526	0.392705618396376
3	3	4.95270674894958	-0.0101629595588235	0.264791693977103
9	9	7.65737731092437	0.00220352941176477	0.653770789964227
10	10	3.62989013918067	-0.00372692095588232	0.378677532328298
12	12	3.6495212815126	-0.0047218382352941	0.287337033496819
13	13	3.65008256039916	-0.00383826286764704	0.283066442271836
14	14	8.56997720063025	-0.00402409926470583	0.148642600000013
15	15	3.34704445378151	-0.00261147058823529	0.776706038666
16	16	10.1722682090336	-0.0167429227941176	0.121267290491769
18	18	4.77582807685574	0.0112395618872549	0.522119166159584
19	19	3.39562866399685	0.000571670496323539	0.909052634748027
20	20	4.75142402661064	0.00218580882352949	0.519314170102173
21	21	6.59116038865546	0.000903786764705896	0.940373882144579
22	22	8.68598617647059	-0.00678779411764701	0.160292657027252
23	23	8.65476894432773	0.000576268382352939	0.911731441410418
24	24	4.07572180540966	-0.00311435202205881	0.374670348305625
25	25	7.55736228203781	0.00090057904411773	0.890630475090262
26	26	3.35023387867647	-0.00399089154411763	0.647083099882948
27	27	5.66082507265406	0.00129939031862743	0.674138229818738
28	28	4.79688861957283	-0.000930916053921586	0.804691931559599
29	29	7.30489713235294	-0.00777334558823525	0.32372846623192
30	30	8.67071344406512	0.00267505974264714	0.561008635209136
31	31	6.88898732405462	-0.000883538602941115	0.957440417321079
32	32	4.72118089329481	-0.00114319393382342	0.552813016740395
33	33	2.86881257615546	-0.00334574448529411	0.39716047460027
34	34	11.1194394432773	0.00383768382352945	0.478991293930838
35	35	5.93628799369748	0.0215259926470589	0.0164124358550059
36	36	6.92408018513655	-0.00501665900735288	0.447158242612658
37	37	9.33470599264706	-0.0101388419117647	0.61188571207665
38	38	5.86391192139356	-0.00906761948529418	0.0157841707569727
39	39	9.47151673844538	0.00988869485294125	0.66173334855269
40	40	3.96011040441176	-0.00560369485294115	0.385172052121464
41	41	4.59183994222689	-0.00152590073529409	0.699587501465718
43	43	3.89926945640756	0.000103115808823542	0.985771298567321
47	47	9.08355643907563	0.00228417892156858	0.803679533003475
48	48	5.01875509585084	0.0127024034926471	0.293186297205488
49	49	4.33173756565126	-0.00523159007352938	0.311535728922144
50	50	7.60750374080882	-0.000461677389705813	0.937355007885478
51	51	5.3752635	0.00242375	0.488886679375998
52	52	8.24119225446428	-0.00422757812499995	0.501627368381257
53	53	6.88294604516806	0.00128288602941182	0.922070913390815
54	54	7.20379379201681	-0.0056822426470588	0.799359416807309
55	55	4.01349109418767	-0.000879001225490063	0.973303952809344
56	56	4.62759185486694	-0.00473380821078429	0.0153006448205488
58	58	3.51758605042017	-0.00278294117647055	0.474921442247699
59	59	4.70951761292017	0.00723429840686271	0.42810024463001
60	60	13.8942705969888	0.00224764093137119	0.53773926864025
70	70	5.95780945378151	-0.00353397058823529	0.386515614013858
71	71	13.5710502217554	-0.00184881535947898	0.571913181972911
72	72	4.81826285189076	-0.00356917279411763	0.234287644965405
81	81	8.88321957457983	0.00405700367647067	0.33344378724585
86	86	8.31854609506302	0.00916502757352946	0.714749530599623
87	87	6.53254763195903	-0.00994703354779407	0.595775242907469
88	88	3.69834896467962	-0.00442693704044115	0.198138298962002
89	89	4.84028515756302	-0.00681231617647056	0.051207116642598
90	90	3.81973049369748	-0.00849775735294115	0.282651449153055
91	91	4.66598048713235	-0.00957422334558815	0.0996772847473648
92	92	5.42604342043067	-0.00754621783088234	0.441581917124546
93	93	4.76489051295518	-0.00379579044117648	0.436072330201553
94	94	4.17247411239496	-0.00391520220588233	0.437146227283284
95	95	5.98700765625	0.000184140625000046	0.973012219808617
97	97	7.4423912289916	0.00865143382352946	0.217842116992331
98	98	6.89393126313025	0.0122460569852942	0.435653871045483
100	100	10.098457552521	-0.00811202205882349	0.264405474941831
101	101	6.53127430409664	-0.00326789522058823	0.712981797636691
102	102	7.79984104341736	0.00129232843137263	0.84294400698939
103	103	11.397502914916	0.00719090073529412	0.306478204896711
104	104	5.15419187920168	-0.00317697426470587	0.276870240165252
105	105	4.28376293461134	0.00738279871323531	0.0344470754162048
107	107	5.7440320887605	-0.0278679797794117	0.0734356494179644
108	108	3.93325598914566	-0.00751662377450978	0.117181634007542
109	109	7.19059159007353	-0.00444293658088233	0.190563755432409
111	111	4.32104352547269	-0.00561026194852939	0.112873059142437
112	112	6.05144518907563	-0.00593227941176469	0.388697301564592
113	113	6.13242514311974	0.00371745863970595	0.367123184417216
114	114	4.4587400367647	-0.00885579044117643	0.00216102483152714
115	115	3.93896604604342	0.00106774816176475	0.878384743290069
116	116	3.44835508534664	-0.00223094209558823	0.433991931618619
117	117	4.27759053308823	-0.00672646139705879	0.124315639190264
118	118	7.17394937237395	0.0106926011029412	0.113701874458603
119	119	4.63939837316177	-0.00370543964460786	0.0542656346019344
120	120	9.34329856880252	-0.00699333639705879	0.686299243584404
123	123	7.07348104122899	0.00298350643382359	0.832921115055452
124	124	2.73068140493697	-0.000431277573529397	0.926153283402266
125	125	3.0133008803834	-0.00213741038602939	0.167472166207406
126	126	3.12608179359244	0.00357250919117649	0.724368524463028
127	127	3.87807134453781	-0.00118551470588233	0.658983767598257
128	128	8.77092457720588	0.00241909007352949	0.414586808838519
130	130	3.44603647452731	-0.000624738051470584	0.890930719388524
131	131	3.18259830357143	-0.00275781249999998	0.262103806101324
132	132	7.96112902704832	-0.00119176011029407	0.928080239381748
133	133	6.40691269957983	0.0173598161764706	0.581608331105009
134	134	5.13620644301471	-0.00108727481617646	0.770342296600995
135	135	8.20744834821428	-0.0101048437499999	0.384916046780318
136	136	3.23401328256303	0.0162779963235294	0.347857602621787
140	140	4.25209383403361	-0.00344386029411764	0.247956831876012
141	141	5.92562681635154	0.00842975796568629	0.421597549994467
142	142	10.6373521271008	0.00238998161764715	0.667069652857704
143	143	9.47471472163865	0.00935134191176474	0.198045479530291
146	146	4.02609783744748	-0.00566689797794116	0.111480512007566
147	147	3.37682850840336	-0.00421507352941174	0.444041616834345
148	148	3.00867020858343	-0.00371499474789916	0.000694672860797429
150	150	3.05220211134454	-0.00257253676470587	0.687080086502011
151	151	5.7823609637605	-0.00193179227941174	0.698438381230352
152	152	5.40900397058823	0.0020996323529412	0.52761959382466
153	153	3.24207145833334	0.0129886458333332	0.510851723954526
154	154	2.91252886554622	0.0233936764705882	0.18129900341976
155	155	5.34363598739495	-0.00683051470588229	0.0520176740678444
156	156	6.8648434515056	-0.0027769454656861	0.527197455614012
157	157	6.00147907628676	0.00600298483455885	0.165583285072555
158	158	10.248479792542	-0.00655982536764698	0.540247235133554
159	159	6.47655533088235	-0.00353461397058821	0.442397550701722
160	160	6.04169135175945	-0.000122902113970568	0.970881923833248
161	161	6.97479713629201	-0.00249396599264702	0.504933311122552
162	162	7.45241279674369	0.00113451286764712	0.768873540138527
163	163	8.02369864495798	0.00782841911764715	0.180806184845798
164	164	7.85722760241597	0.00320761948529405	0.609849921612603
166	166	8.05596833508403	-0.000922775735294071	0.902983196857814
167	167	3.19715341911765	-0.00667601102941175	0.104061939107556
172	172	6.13940558648459	0.000155128676470763	0.985582066727505
173	173	2.7617353177521	-0.00210254595588235	0.690512085415791
174	174	4.07215268907563	-0.00545352941176467	0.453564026059688
175	175	8.24072495360644	-0.0157451930147059	0.108028616182831
176	176	4.65541602284664	-0.000682348345588223	0.829010735022897
177	177	4.84393576155462	9.0055147058868e-05	0.983119878628829
178	178	8.76146763655461	0.0101372426470589	0.26477091367845
181	181	5.27123600577731	-0.00271090992647056	0.528546775088671
182	182	5.29089271586134	0.0103582518382353	0.148953767342045
183	183	3.71257920693277	-0.00196509191176468	0.711702497883475
185	185	2.9608398595063	-0.00242037224264705	0.537986392876128
186	186	3.40128390756303	0.00606789215686271	0.858486062487741
187	187	4.18790049107143	-0.00206234374999997	0.742512230571878
189	189	3.70232089810925	-0.00308645220588238	0.22125587961517
190	190	3.38972716255252	0.0003393979779412	0.901737802890122
191	191	10.4602839968487	-0.0199495036764705	0.0952547651468055
196	196	8.29741332720588	0.0142459650735295	0.210289317970141
197	197	3.52114198398109	-0.0034724770220588	0.136225985097462
199	199	6.62202700761555	-0.0192624494485294	0.308359787713847
202	202	9.6600706460084	0.0101682536764707	0.693669303137824
203	203	6.0621674789916	-0.00264044117647056	0.809527742025088
204	204	8.07403769826681	-0.0043208103553922	0.664695953805959
205	205	7.78757057576155	0.00329431755514711	0.917008510599427
207	207	7.74659921218487	0.00237908088235297	0.726919941051523
208	208	6.13057539565826	-0.00386731617647061	0.271814010666583
210	210	5.73934388261554	0.0168234880514706	0.0102208238488188
211	211	8.75439400735294	0.00508384191176472	0.571320777574777
212	212	4.43811388392857	-0.00659671874999997	0.22157731466154
213	213	3.02115468592437	-0.00353003308823527	0.118201376309625
214	214	7.38306924369748	0.00836745098039221	0.115697930560291
215	215	5.73476338760504	-0.00819854779411763	0.0254617753662611
216	216	2.60670719012605	0.00540755514705884	0.135115479374938
217	217	8.17208303046218	-0.00262229779411758	0.942625225168734
218	218	5.01354631827731	-0.000560128676470559	0.838611827224751
219	219	6.49796162683823	-0.00645372702205878	0.384488931854603
220	220	3.21644945115546	0.00604394301470591	0.0358091813179932
221	221	5.8837705864846	-0.00223237132352945	0.429441791149251
222	222	3.40244235162815	-0.00471288143382352	0.367922963656418
223	223	9.82813398109243	0.00799297794117655	0.381576185308995
224	224	7.63395697916667	-0.0128958854166667	0.325049548393938
225	225	3.34316722689076	-0.0115432352941176	0.347264077478951
226	226	10.9006589171919	0.00708054227941202	0.561823845135935
229	229	3.73469496235995	-0.00152546058006546	0.37513845684693
230	230	8.53102378939076	0.0225031709558824	0.391393154137242
